,0,1,2,3,4,5,6,7,obj_value,final_cost,final_cover
10,14,13,12,4,10,9,11,18,-1010,3939468,32942
11,14,13,12,4,10,9,16,8,-1388,4094251,41161
9,8,13,12,4,10,9,11,14,-1434,4132557,40513
6,14,13,12,4,18,9,11,8,-1461,3479626,36869
7,11,9,12,4,10,16,18,8,-1606,3787353,36536
8,15,13,12,4,10,9,11,8,-1796,4568876,45168
4,15,4,12,13,11,9,18,8,-1823,3915945,41524
5,14,10,6,3,17,13,9,12,-1845,4098388,34724
3,16,10,5,3,17,13,9,18,-2326,3848119,30935
1,13,9,17,15,8,2,12,18,-3047,4079233,40429
2,18,0,15,4,3,13,9,8,-3686,3341828,39373
0,8,13,12,4,11,9,18,15,-4012,3915945,41524
