Posição,Município,População,Área Urb. (Km2),Área Tot. (Km2),Densidade Urb. (Pessoas/Km2),Densidade total (Pessoas/Km2),Area Urb. (m2),Area Tot.     (m2),Densidade Urb. (Pessoa/m2),Densidade Tot. (m2),Indice Contagio
7,São João de Meriti,472406,35.34,35.83,13367.45897,13184.649734999999,35340000,35830000,0.013366999999999999,0.013184999999999999,7.480853333788089e-05
19,Nilópolis,162485,11.54,19.39,14080.155979,8379.834966,11540000,19390000,0.01408,0.00838,7.102194048783698e-05
5,Belford Roxo,510906,64.77,77.82,7888.003705,6565.227448,64770000,77820000,0.007888,0.0065650000000000005,0.00012677478832396163
0,Rio de Janeiro,6718903,925.0,1200.18,7263.678919,5598.246096,925000000,1200180000,0.007264,0.005598,0.00013767128353983898
1,São Gonçalo,1084839,93.3,247.71,11627.427653,4379.471963,93300000,247710000,0.011627,0.004379,8.600354522455268e-05
18,Mesquita,176103,41.48,41.48,4245.491803,4245.491803,41480000,41480000,0.0042450000000000005,0.0042450000000000005,0.00023554397144127522
4,Niterói,513584,14.51,133.92,35395.175741,3835.005974,14510000,133920000,0.035394999999999996,0.0038350000000000003,2.825243777054199e-05
22,Queimados,150319,16.48,75.7,9121.298544,1985.7199469999998,16480000,75700000,0.009120999999999999,0.001986,0.00010963351272586086
2,Duque de Caxias,919596,85.15,467.62,10799.718144,1966.545486,85150000,467620000,0.0108,0.001967,9.259500911656384e-05
3,Nova Iguaçu,821128,95.34,519.16,8612.628488,1581.647276,95340000,519160000,0.008612999999999999,0.001582,0.00011610857259120173
9,Volta Redonda,273012,27.17,182.48,10048.288554,1496.1201230000001,27170000,182480000,0.010048,0.0014960000000000002,9.951943503870838e-05
26,Japeri,104768,11.72,81.87,8939.249147,1279.687309,11720000,81870000,0.008939,0.00128,0.00011186621868969819
21,Rio das Ostras,150674,5.72,229.04,26341.608392,657.8501570000001,5720000,229040000,0.026342,0.0006580000000000001,3.7962754024682184e-05
11,Magé,245071,21.81,388.5,11236.634570999999,630.8133849999999,21810000,388500000,0.011237,0.0006309999999999999,8.899461788860199e-05
44,Armação dos Búzios,40532,3.5,70.28,11580.571429000001,576.721685,3500000,70280000,0.011581000000000001,0.0005769999999999999,8.635152471801225e-05
12,Itaboraí,240592,33.64,430.37,7151.96195,559.035249,33640000,430370000,0.0071519999999999995,0.000559,0.00013982177296119423
53,Iguaba Grande,28310,3.06,51.95,9251.633987000001,544.947064,3060000,51950000,0.009252,0.000545,0.00010808901448167503
13,Cabo Frio,219863,14.22,410.42,15461.533052,535.702451,14220000,410420000,0.015462,0.000536,6.467663954388058e-05
23,Itaguaí,133019,11.14,274.4,11940.664273,484.76312,11140000,274400000,0.011941,0.00048499999999999997,8.374743457624722e-05
20,Maricá,161207,9.39,362.57,17167.944622,444.623107,9390000,362570000,0.017168,0.00044500000000000003,5.824809096358233e-05
66,Porto Real,19683,2.54,50.78,7749.212598,387.613234,2540000,50780000,0.007749,0.000388,0.00012904536910731947
8,Petrópolis,306191,21.33,795.8,14354.946085,384.758733,21330000,795800000,0.014355000000000001,0.00038500000000000003,6.966240026808154e-05
16,Barra Mansa,184412,16.47,547.2,11196.842744,337.01023399999997,16470000,547200000,0.011197,0.000337,8.931089083446004e-05
58,Pinheiral,25156,3.42,76.53,7355.555556,328.707696,3420000,76530000,0.0073560000000000006,0.00032900000000000003,0.00013595166162320535
27,São Pedro da Aldeia,104476,8.0,332.79,13059.5,313.939722,8000000,332790000,0.013059999999999999,0.000314,7.657260997741108e-05
37,Paracambi,52257,6.03,179.77,8666.169154000001,290.68810099999996,6030000,179770000,0.008666,0.000291,0.00011539123945422124
31,Seropédica,82312,7.96,283.77,10340.703518,290.065898,7960000,283770000,0.010341,0.00029,9.670521916224618e-05
30,Saquarema,89170,7.78,353.57,11461.439589,252.19899900000001,7780000,353570000,0.011461,0.000252,8.724907479857416e-05
