Position,City,Population,Area,Density
0,Rio Branco,407319,8834.942,46.1031889060506
1,Cruzeiro do Sul,88358,8779.403,10.064237853075
2,Sena Madureira,43310,23753.066,1.82334356331094
3,Tarauacá,41976,20171.075,2.08099964925023
4,Feijó,35092,27975.426,1.25438661774087
5,Senador Guiomard,24808,2322.03,10.6837551625087
6,Brasileia,24274,3916.502,6.1978775958751
7,Plácido de Castro,18862,1943.85,9.70342361807753
8,Xapuri,18685,5347.468,3.49417705725401
9,Mâncio Lima,18528,5452.853,3.39785429755763
10,Marechal Thaumaturgo,18539,8191.692,2.26314661244588
11,Rodrigues Alves,18502,3076.951,6.01309543115896
12,Porto Acre,18176,2604.885,6.97765928246352
13,Epitaciolândia,18120,1654.768,10.9501754928788
14,Acrelândia,16304,1807.948,9.01795848110676
15,Porto Walter,11017,6443.83,1.70969749357137
16,Bujari,10079,3034.869,3.32106591750748
17,Capixaba,9947,1701.974,5.84439010231649
18,Manoel Urbano,8570,10633.137,0.805970994260678
19,Jordão,8140,5357.282,1.51942720207747
20,Assis Brasil,6393,4974.175,1.28523825559012
21,Santa Rosa do Purus,5952,6145.612,0.968495895933554
