Position,City,Population,Area,Density
0,Maceió,1150024,509.32,2257.95963245111
1,Arapiraca,2317488,345.655,6704.62744644226
2,Rio Largo,76439,293.816,260.15941950064
3,Palmeira dos Índios,76398,450.958,169.412672577047
4,Penedo,67563,689.875,97.9351331763001
5,União dos Palmares,67048,420.72,159.364898269633
6,São Miguel dos Campos,61311,360.882,169.892097693983
7,Campo Alegre,58943,312.708,188.492139631861
8,Coruripe,58475,897.78,65.1328833344472
9,Delmiro Gouveia,54284,626.69,86.6201790358869
10,Marechal Deodoro,53738,331.186,162.259274244684
11,Santana do Ipanema,48921,437.875,111.723665429632
12,Atalaia,47513,533.258,89.0994602987672
13,Teotônio Vilela,44731,299.222,149.491013361317
14,Girau do Ponciano,41548,513.454,80.9186412025225
15,Pilar,35474,251.066,141.293524411908
16,São Luís do Quitunde,34940,397.366,87.9290125476261
17,São Sebastião,34381,315.167,109.088197685671
18,Maragogi,34337,334.165,102.754627205123
19,São José da Tapera,33830,494.498,68.4128146119903
20,Limoeiro de Anadia,28500,309.205,92.1718600928187
21,Murici,28064,418.028,67.1342589491613
22,Boca da Mata,27406,185.973,147.36547778441
23,Traipu,27369,686.05,39.8935937613877
24,Porto Calvo,27080,313.23,86.4540433547234
25,Viçosa,25868,371.612,69.6102386359967
26,Igaci,25523,334.344,76.3375445648793
27,Mata Grande,25111,914.726,27.4519364268644
28,Junqueiro,25021,247.724,101.003536193506
29,Piranhas,24932,410.112,60.7931491885144
30,Matriz de Camaragibe,24820,238.344,104.135199543517
31,Pão de Açúcar,24371,692.39,35.1983708603533
32,Igreja Nova,24318,427.029,56.9469520805379
33,Craíbas,24114,278.88,86.4672977624785
34,Joaquim Gomes,23855,298.291,79.9722418711929
35,São José da Laje,23849,256.637,92.9289229534323
36,Olho d'Água das Flores,23048,191.323,120.466436340639
37,Feira Grande,22534,178.055,126.556401112016
38,Colônia Leopoldina,21728,207.894,104.514800811952
39,Cajueiro,21379,94.357,226.575664762551
40,Água Branca,20417,468.225,43.6051043835763
41,Porto Real do Colégio,19999,236.677,84.4991275028837
42,Major Isidoro,19706,448.496,43.9379615425779
43,Taquarana,19638,153.702,127.766717414217
44,Batalha,18843,319.036,59.0623001792901
45,Inhapi,18012,372.02,48.4167517875383
46,Estrela de Alagoas,17986,260.772,68.9721289095455
47,Lagoa da Canoa,17796,83.621,212.817354492293
48,Canapi,17750,602.778,29.4469937522604
49,Piaçabuçu,17591,241.125,72.9538621047175
50,Messias,17564,114.156,153.859630680823
51,Anadia,17557,186.134,94.3245188949896
52,Capela,17108,257.561,66.4230997705398
53,Barra de Santo Antônio,15814,131.364,120.383057763162
54,Ibateguara,15808,265.312,59.5826800144735
55,Passo de Camaragibe,15376,251.573,61.1194365055073
56,Poço das Trincheiras,14168,284.257,49.8422202443563
57,Senador Rui Palmeira,13701,341.992,40.0623406395471
58,Satuba,13589,41.268,329.28661432587
59,Maribondo,13420,180.107,74.5112627493657
60,Paripueira,13009,92.788,140.201319136095
61,Flexeiras,12864,333.052,38.6245991616925
62,Novo Lino,12825,215.547,59.499784269788
63,Jequiá da Praia,11735,334.57,35.0748722240488
64,Quebrangulo,11728,319.829,36.6695953149964
65,Olivença,11396,175.708,64.8576046622806
66,Ouro Branco,11544,196.561,58.7298599416975
67,Dois Riachos,11327,139.851,80.9933429149595
68,Santana do Mundaú,11011,225.407,48.849414614453
69,Coité do Noia,10539,88.759,118.737254813596
70,Cacimbinhas,10535,273.767,38.4816285381364
71,Pariconha,10424,254.719,40.9235274950043
72,Branquinha,10368,165.25,62.7413010590015
73,Campo Grande,9539,165.25,57.7246596066566
74,Maravilha,9483,332.374,28.5311125418956
75,Carneiros,9309,101.853,91.3964242584902
76,Olho d'Água do Casado,9303,321.43,28.9425380331643
77,Japaratinga,8299,85.356,97.2280800412391
78,Barra de São Miguel,8290,74.244,111.658854587576
79,São Miguel dos Milagres,7892,76.731,102.85282350028
80,Porto de Pedras,7814,257.105,30.3922521926839
81,Paulo Jacinto,7622,118.457,64.3440235697342
82,Chã Preta,7384,169.464,43.5726762026153
83,Santa Luzia do Norte,7328,28.857,253.941851197283
84,Monteirópolis,7295,86.604,84.2339845734608
85,Jacuípe,7286,208.738,34.9050005269764
86,São Brás,7246,139.945,51.777484011576
87,Campestre,6759,65.91,102.548930359581
88,Belo Monte,6752,335.047,20.1523965294421
89,Roteiro,6382,128.814,49.5443041905383
90,Tanque d'Arca,6057,124.761,48.548825354077
91,Coqueiro Seco,5729,39.608,144.642496465361
92,Jaramataia,5596,105.863,52.8607728857108
93,Minador do Negrão,5287,167.461,31.5715300876025
94,Jacaré dos Homens,5258,148.992,35.290485395189
95,Palestina,4828,38.189,126.42383932546
96,Olho d'Água Grande,4749,117.006,40.5876621711707
97,Belém,4405,66.655,66.0865651489011
98,Jundiá,4306,88.794,48.4942676306958
99,Mar Vermelho,3514,91.741,38.3034848104991
100,Feliz Deserto,3937,110.373,35.6699555144827
101,Pindoba,2908,117.086,24.8364450062347
