Position,City,Population,Area,Density
0,Manaus,2182763,11401.09,191.452099500644
1,Parintins,114273,5956.05,19.1860473901566
2,Itacoatiara,101337,8891.91,11.3965442279754
3,Manacapuru,97377,7336.58,13.272807394291
4,Coari,85097,57970.77,1.4679294916362
5,Tabatinga,65844,3266.06,20.1600581985278
6,Maués,63905,39998.00,1.59770488524426
7,Tefé,59849,23703.00,2.52495464709109
8,Manicoré,55751,48315.02,1.15390615270559
9,Humaitá,55080,33111.14,1.66348833080151
10,Iranduba,48296,2216.82,21.7861916432434
11,Lábrea,46069,68262.70,0.674878120840701
12,São Gabriel da Cachoeira,45564,109181.24,0.417324441451663
13,Benjamin Constant,42984,8695.39,4.94330790377248
14,Borba,41161,44236.18,0.930482611248746
15,Autazes,39565,7652.85,5.16996800669868
16,São Paulo de Olivença,39299,19658.50,1.99908416216047
17,Careiro,37869,6096.21,6.21189230685951
18,Nova Olinda do Norte,37378,5578.13,6.70080951831187
19,Presidente Figueiredo,36279,25459.10,1.42499151285754
20,Eirunepé,35273,14966.24,2.35683715967747
21,Boca do Acre,34308,21938.59,1.56381966371496
22,Rio Preto da Eva,33347,5815.62,5.7340384227173
23,Manaquiri,32105,3973.26,8.08026861576353
24,Barreirinha,32041,5751.77,5.57063788245869
25,Careiro da Várzea,30225,2627.47,11.5034439922146
26,Ipixuna,29689,12109.78,2.4516553855616
27,Codajás,28637,18700.71,1.53133198718145
28,Carauari,28294,25778.66,1.09757459057799
29,Barcelos,27502,122461.09,0.224577462917485
30,Novo Aripuanã,25644,41179.66,0.622734682387828
31,Santa Isabel do Rio Negro,25156,62800.08,0.400572744502439
32,Urucurituba,23065,2886.49,7.99066272093412
33,Apuí,21973,54240.56,0.405102779551154
34,Santo Antônio do Içá,21602,12366.14,1.74686642391245
35,Nhamundá,21173,14107.04,1.50088182921435
36,Anori,21010,6036.38,3.48056285389588
37,Envira,20033,7505.81,2.66900014881811
38,Atalaia do Norte,19921,76435.09,0.260626359151548
39,Beruri,19679,17472.79,1.12626578991271
40,Novo Airão,19454,37776.77,0.514972561179794
41,Pauini,19426,41624.67,0.466694413034117
42,Boa Vista do Ramos,19207,2589.41,7.41752841480694
43,Tonantins,18755,6446.89,2.90915284166298
44,Maraã,18224,16830.83,1.08277507694661
45,Fonte Boa,17609,12155.43,1.44865334636126
46,Tapauá,17156,84946.17,0.201963205731969
47,Guajará,16678,7583.72,2.19918456905055
48,Urucará,16256,27901.96,0.582611359014825
49,Alvarães,16041,5923.46,2.7080451783172
50,Canutama,15629,33642.60,0.464559855471324
51,Juruá,14712,19442.55,0.756690944005899
52,Jutaí,14317,69457.42,0.206126300554088
53,São Sebastião do Uatumã,14020,10647.46,1.31674559470176
54,Anamã,13614,2446.12,5.5655464304505
55,Uarini,13540,10274.68,1.31780298300375
56,Caapiranga,13081,9455.54,1.38342192867059
57,Amaturá,11536,4754.11,2.42653250062209
58,Silves,9171,3723.38,2.46308329362929
59,Itapiranga,9148,4335.08,2.11022877343529
60,Itamarati,7851,25260.43,0.310802322478371
61,Japurá,2755,55827.21,0.049348698386434
