Position,City,Population,Area,Density
0,Macapá,496375,6563.85,75.6225501226491
1,Santana,122988,1541.22,79.7989130716885
2,Laranjal do Jari,50021,30783.00,1.62495543806357
3,Oiapoque,26863,23034.39,1.16621267884996
4,Mazagão,21436,13294.78,1.61236238769839
5,Porto Grande,21286,4428.01,4.80712229164639
6,Tartarugalzinho,16637,6684.71,2.48881588641533
7,Pedra Branca do Amapari,15911,9622.29,1.65355648187698
8,Vitória do Jari,15632,2508.98,6.23042281342331
9,Calçoene,11065,14117.30,0.783790268066189
10,Amapá,8842,8454.85,1.04579065712248
11,Ferreira Gomes,7373,4973.85,1.48235210858707
12,Cutias,5816,2179.11,2.66897463831631
13,Itaubal,5400,1622.87,3.32744457802149
14,Serra do Navio,5301,7713.05,0.687277114644461
15,Pracuuba,4632,4948.51,0.936039143896012
