Position,City,Population,Area,Density
0,Salvador,2857329,693.831,4118.19160573684
1,Feira de Santana,609913,1304.425,467.572301972133
2,Vitória da Conquista,338885,3705.838,91.4462531821413
3,Camaçari,293723,785.335,374.009817466432
4,Juazeiro,215183,6721.237,32.0153864534162
5,Itabuna,212740,401.028,530.48664931127
6,Lauro de Freitas,195095,57.664,3383.30674250832
7,Ilhéus,164844,1588.555,103.769778194649
8,Teixeira de Freitas,158445,1165.622,135.931717143293
9,Jequié,155800,2969.034,52.4749800776953
10,Barreiras,153831,7859.716,19.572081230416
11,Alagoinhas,150832,707.558,213.172630370938
12,Porto Seguro,146625,2285.764,64.1470423018299
13,Simões Filho,132906,201.222,660.494379342219
14,Paulo Afonso,117014,1545.191,75.7278550030385
15,Eunápolis,112318,1425.97,78.7660329459947
16,Santo Antônio de Jesus,100605,261.74,384.369985481776
17,Valença,95858,1124.319,85.2587210569243
18,Candeias,86677,251.628,344.464844929817
19,Luís Eduardo Magalhães,84753,3940.537,21.5079822876933
20,Guanambi,84014,1272.366,66.0297430141956
21,Serrinha,80411,583.314,137.851997380485
22,Jacobina,80394,2192.903,36.6609923010731
23,Dias d'Ávila,79685,184.23,432.529989686805
24,Senhor do Bonfim,78588,789.361,99.5590103894162
25,Itapetinga,75470,1651.158,45.7073157141836
26,Irecê,72386,319.174,226.791655961952
27,Casa Nova,71366,9647.072,7.39768501779607
28,Campo Formoso,70912,7161.827,9.90138410212925
29,Bom Jesus da Lapa,68609,4115.511,16.6708338284116
30,Brumado,67048,2207.612,30.3712790109856
31,Conceição do Coité,66191,1015.252,65.1966211344573
32,Itamaraju,64521,2360.289,27.3360592707079
33,Itaberaba,64325,2386.39,26.9549403073261
34,Cruz das Almas,62871,139.117,451.928951889417
35,Euclides da Cunha,59842,1992.639,30.0315310500296
36,Ipirá,59763,3105.28,19.2456074814509
37,Santo Amaro,59512,489.323,121.621096903273
38,Catu,54424,426.955,127.470108091017
39,Jaguaquara,54163,924.743,58.5708677978638
40,Araci,54099,1495.554,36.1732174164223
41,Barra,53231,11422.537,4.66017312966463
42,Ribeira do Pombal,52956,1177.453,44.9750435898503
43,Santo Estêvão,52413,360.334,145.456715158714
44,Caetité,50861,2651.537,19.1817047998953
45,Tucano,50568,2185.014,23.1431011426014
46,Monte Santo,49565,3034.197,16.3354587721232
47,Macaúbas,49474,2459.102,20.1187262667429
48,Poções,46862,937.269,49.9984529521407
49,Xique-Xique,46440,5079.662,9.14234057305388
50,Mata de São João,46014,605.21,76.0298078352968
51,Ipiaú,45823,280.454,163.388648405799
52,Livramento de Nossa Senhora,45388,1953.38,23.2356223571451
53,Maragogipe,44555,438.182,101.681493078219
54,São Sebastião do Passé,44164,536.584,82.3058458694259
55,Seabra,43941,2402.17,18.2922107927416
56,Nova Viçosa,42950,1316.38,32.6273568422492
57,Vera Cruz,42706,299.367,142.654333978027
58,Entre Rios,41654,1187.514,35.0766390964654
59,Mucuri,41221,1787.626,23.0590738778693
60,Remanso,41200,4683.404,8.79702028695368
61,Sento Sé,40703,12181.239,3.34144991326416
62,Rio Real,40475,738.606,54.7991757445783
63,Jeremoabo,40232,4627.275,8.69453404001275
64,Santa Maria da Vitória,39920,1984.91,20.1117431017023
65,Inhambupe,39499,1082.26,36.4967752665718
66,São Francisco do Conde,39338,269.608,145.908133289813
67,Pojuca,39045,314.933,123.978751035935
68,Santaluz,37158,1623.447,22.8883357448688
69,São Gonçalo dos Campos,37139,294.768,125.994002062639
70,Amargosa,37031,431.673,85.7848417668003
71,Esplanada,36882,1299.355,28.3848524845019
72,Itiúba,36063,1650.593,21.8485114137767
73,Morro do Chapéu,35383,5744.968,6.15895510645142
74,Itapicuru,35256,1556.747,22.6472252716723
75,Camamu,35248,839.702,41.9767965301976
76,Riacho de Santana,35240,3183.911,11.0681485757611
77,Cansanção,34784,1351.891,25.729885027713
78,Pilão Arcado,34486,11626.637,2.9661199536891
79,Curaçá,34389,5935.944,5.7933498024914
80,Cachoeira,33861,399.93,84.6673167804366
81,Riachão do Jacuípe,33403,1155.418,28.9098836957707
82,Jaguarari,33385,2466.009,13.5380690013702
83,Cícero Dantas,33356,863.932,38.6095201937189
84,São Desidério,33193,15116.397,2.19582748455204
85,Conceição do Jacuípe,32909,117.529,280.00748751372
86,Gandu,32202,229.631,140.233679250624
87,Correntina,32081,11492.171,2.79155261438417
88,Barra do Choça,32018,765.152,41.8452804148718
89,Camacan,31968,584.848,54.660356195114
90,Paratinga,31853,2624.118,12.1385547448705
91,Serra do Ramalho,31532,2342.146,13.4628669604713
92,Canavieiras,31301,1334.295,23.4588303186327
93,Ruy Barbosa,30767,1991.769,15.4470724265716
