State,Population,Area,Density
AC,881935,164123.738,5.37359805928866
AL,3337357,27843.295,119.86214275286
AP,845731,142470.762,5.93617236356187
AM,4144597,1559168.117,2.65821046159835
BA,14873064,564722.611,26.336937303897
CE,9132078,148894.757,61.3324349627704
DF,3015268,5760.783,523.4128763399
ES,4018650,46074.444,87.220802924936
GO,7018354,340125.715,20.6345880081428
MA,7075181,329642.17,21.4632157044713
MT,3484466,903206.997,3.85788198228495
MS,2778986,357145.535,7.78110245729378
MG,21168791,586521.121,36.0921205427485
PA,8602865,1245759.305,6.90572004196268
PB,4018127,56467.239,71.1585526609509
PR,11433957,199305.236,57.3690748395592
PE,9557071,98068.021,97.4534909805104
PI,3273227,251616.823,13.0087764441728
RJ,17264943,43750.423,394.623453126385
RN,3506853,52809.602,66.405594194783
RS,11377239,281707.151,40.3867596531123
RO,1777225,237765.233,7.47470510122899
RR,605761,224273.831,2.70098832886125
SC,7164788,95730.921,74.842986207142
SP,45919049,248219.481,184.993735443351
SE,2298696,21926.908,104.834480082645
TO,1572866,277720.404,5.6634873683966
