Position,City,Population,Area,Density
0, Águas Claras,148940,31.5,4728.25396825397
1, Brazlândia,52287,474.8,110.124262847515
2, Candangolândia,16848,12.3,1369.75609756098
3, Ceilândia,489351,230.3,2124.84151107251
4, Cruzeiro,33539,8.9,3768.42696629213
5, Fercal,8746,23.7,369.029535864979
6, Gama,141911,27.63,5136.1201592472
7, Guará,132685,21,6318.33333333333
8, Itapoã,68587,362.2,189.362230811706
9, Jardim Botânico,27364,22.726,1204.08342867201
10, Lago Norte,37455,66.08,566.812953995157
11, Lago Sul,29346,183.39,160.01963029609
12, Núcleo Bandeirante,25072,80.43,311.724480915081
13, Paranoá,48020,853.3,56.2756357670222
14, Park Way,19824,79,250.93670886076
15, Planaltina,189421,1534.69,123.426229401377
16, Plano Piloto,220393,472.12,466.815640091502
17, Recanto das Emas,145304,101.22,1435.52657577554
18, Riacho Fundo,40098,56.02,715.780078543377
19, Riacho Fundo II,51709,30.6,1689.83660130719
20, Samambaia,254439,102.6,2479.91228070175
21, Santa Maria,125123,215.86,579.648846474567
22, São Sebastião,100161,383.71,261.033071851138
23, SCIA,39015,6.1,6395.90163934426
24, SIA,1988,45.46,43.7307523097228
25, Sobradinho,68551,287.6,238.355354659249
26, Sobradinho II,100775,17.8,5661.51685393258
27, Sudoeste/Octogonal,53262,3.8,14016.3157894737
28, Taguatinga,222598,121.34,1834.49810449975
29, Varjão,9215,1.3,7088.46153846154
30, Vicente Pires,72879,13,5606.07692307692
