Position,City,Population,Area,Density
1,Serra,517510,547.631,741.85
2,Vila Velha,493838,210.225,1973.59
3,Cariacica,381285,279.718,1246.12
4,Vitória,362097,3089.537,4.35
5,Cachoeiro de Itapemirim,208972,864.583,216.23
6,Linhares,173555,3496.263,40.33
7,São Mateus,130611,2346.047,46.62
8,Guarapari,124859,589.825,177.1
9,Colatina,122499,1398.219,78.9
10,Aracruz,101220,1420.285,57.47
11,Viana,78239,312.279,207.84
12,Nova Venécia,50110,1439.572,31.92
13,Barra de São Francisco,44650,944.521,43.16
14,Santa Maria de Jetibá,40431,735.239,46.46
15,Marataízes,38499,130.268,256.55
16,São Gabriel da Palha,37947,434.887,73.26
17,Castelo,37534,663.515,52.32
18,Itapemirim,34348,550.709,55.15
19,Domingos Martins,33850,1229.21,25.93
20,Conceição da Barra,31063,1182.587,24.01
21,Baixo Guandu,30998,909.039,31.71
22,Guaçuí,30867,468.185,59.47
23,Afonso Cláudio,30586,941.188,32.68
24,Jaguaré,30477,659.751,37.41
25,Alegre,30084,772,39.85
26,Sooretama,30070,587.036,40.66
27,Anchieta,29263,409.691,58.41
28,Iúna,29161,460.586,59.27
29,Pinheiros,27047,973.136,24.55
30,Pedro Canário,26184,433.453,54.84
31,Mimoso do Sul,25742,869.439,29.79
32,Ibatiba,25685,240.278,92.98
33,Venda Nova do Imigrante,24945,185.909,109.98
34,Santa Teresa,23528,683.219,31.94
35,Pancas,23090,837.842,25.96
36,Ecoporanga,23017,2285.369,10.16
37,Piúma,22952,74.046,242.18
38,Vargem Alta,21218,417.76,46.25
39,Fundão,20988,286.854,58.97
40,Montanha,19380,1099.06,16.24
41,Rio Bananal,18903,641.929,27.3
42,Muniz Freire,18000,678.804,27.08
43,João Neiva,16721,284.734,55.52
44,Marechal Floriano,16288,285.495,49.98
45,Muqui,15428,327.268,43.96
46,Mantenópolis,15117,321.418,42.35
47,Boa Esperança,15065,428.716,33.14
48,Itaguaçu,14728,535.021,26.59
49,Alfredo Chaves,14396,615.677,22.66
50,Vila Valério,14107,470.343,29.42
51,Iconha,13937,203.528,61.53
52,Irupi,13226,184.807,63.52
53,Conceição do Castelo,12958,369.778,31.64
54,Marilândia,12520,327.642,35.94
55,Governador Lindenberg,12607,360.016,30.19
56,Brejetuba,12360,354.404,34.62
57,Ibiraçu,12348,201.248,55.54
58,São Roque do Canaã,12333,341.944,32.96
59,Santa Leopoldina,12305,718.097,17.05
60,Jerônimo Monteiro,11628,162.202,67.16
61,Presidente Kennedy,11615,594.897,17.66
62,Atílio Vivácqua,11487,232.868,44.08
63,Rio Novo do Sul,11273,204.464,55.42
64,Água Doce do Norte,11100,473.729,24.85
65,Laranja da Terra,11006,458.37,23.62
66,Itarana,10591,295.189,36.42
67,São José do Calçado,10587,273.489,38.06
68,Bom Jesus do Norte,9949,89.084,106.37
69,Águia Branca,9519,454.448,20.95
70,Vila Pavão,8672,433.257,20.02
71,Ibitirama,8889,330.874,27.15
72,São Domingos do Norte,8001,298.58,26.79
73,Ponto Belo,7863,360.11,19.35
74,Alto Rio Novo,7836,227.617,32.14
75,Apiacá,7567,193.984,38.72
76,Dores do Rio Preto,6749,159.298,40.16
77,Mucurici,5524,540.529,10.47
78,Divino de São Lourenço,4304,174.039,25.97
