Position,City,Population,Area,Density
0,Goiânia,1516113,728.841,2080.16974895759
1,Aparecida de Goiânia,578179,278.539,2075.75599826236
2,Anápolis,386923,933.156,414.639138579187
3,Rio Verde,235647,8386.827,28.0972768366392
4,Águas Lindas de Goiás,212440,192.392,1104.20391700279
5,Luziânia,208299,3961.1,52.5861503117821
6,Valparaíso de Goiás,168468,60.95,2764.03609515997
7,Trindade,127599,710.328,179.633915599554
8,Formosa,121617,5813.637,20.9192627609877
9,Novo Gama,115711,194.586,594.652236029314
10,Senador Canedo,115371,248.291,464.660418621698
11,Catalão,108823,3821.463,28.4767901717222
12,Itumbiara,104742,2464.51,42.5001318720557
13,Jataí,100882,7174.225,14.0617279218313
14,Caldas Novas,91162,1608.439,56.6773125993588
15,Planaltina,89918,2550.524,35.2547162857515
16,Santo Antônio do Descoberto,74744,945.65,79.0398138846296
17,Cidade Ocidental,71376,390.959,182.566458375431
18,Goianésia,70084,1547.274,45.2951448806094
19,Mineiros,66801,9038.775,7.39049262759611
20,Cristalina,58997,6163.806,9.57152123217376
21,Inhumas,52866,615.278,85.9221360100637
22,Jaraguá,50511,1849.552,27.3098566571797
23,Quirinópolis,50065,3789.084,13.2129559545262
24,Niquelândia,46388,9843.247,4.71267255611893
25,Morrinhos,46136,2846.199,16.2096887814239
26,Porangatu,45394,4820.527,9.41681272607746
27,Goianira,43260,212.552,203.526666415748
28,Itaberaí,42163,1457.28,28.9326690821256
29,Uruaçu,40217,2141.822,18.7770038780067
30,Santa Helena de Goiás,38485,1141.389,33.7176895869857
31,Posse,36375,2058.031,17.6746608773143
32,Goiatuba,33986,2470.347,13.7575814247958
33,São Luís de Montes Belos,33470,825.999,40.5206301702544
34,Padre Bernardo,33228,3142.396,10.5740969629544
35,Iporá,31563,1026.384,30.7516485058224
36,Pires do Rio,31225,1073.36,29.0908921517478
37,Bela Vista de Goiás,29448,1275.849,23.0811012901997
38,Minaçu,29353,2860.735,10.2606497980414
39,Nerópolis,29293,204.217,143.440555879285
40,Palmeiras de Goiás,28313,1539.692,18.3887426836017
41,Alexânia,27288,847.893,32.1833061482994
42,Ipameri,26792,4368.991,6.13230835220306
43,Itapuranga,25856,1276.479,20.255719052174
44,Bom Jesus de Goiás,24776,1405.028,17.6338122798976
45,Pirenópolis,24749,2205.01,11.2239853787511
46,Piracanjuba,24499,2380.732,10.2905324916874
