Position,City,Population,Area,Density
0,São Luís,1101884,582.97,1890.10830671694
1,Imperatriz,258682,1368.99,188.958559169255
2,São José de Ribamar,177687,180.23,985.873841083486
3,Timon,169107,1764.61,95.8323982835887
4,Caxias,164880,5196.77,31.7274060093878
5,Codó,122859,4361.34,28.1699861327151
6,Paço do Lumiar,122197,126.80,963.675938266445
7,Açailândia,112445,5806.44,19.3655698440989
8,Bacabal,104949,1683.07,62.3555841012244
9,Balsas,94887,13141.76,7.2202674269506
10,Santa Inês,89044,786.69,113.188312026735
11,Barra do Corda,88212,5190.34,16.9954216863292
12,Pinheiro,83387,1512.97,55.1149199651545
13,Chapadinha,79675,3247.39,24.5351259551916
14,Santa Luzia,72667,4837.04,15.0230368254291
15,Buriticupu,72358,2544.86,28.4330317970715
16,Grajaú,69527,8863.57,7.84413052528496
17,Itapecuru-Mirim,68203,1478.56,46.1279269993413
18,Coroatá,65296,2263.77,28.8438941730881
19,Barreirinhas,62528,3047.05,20.5208316240298
20,Tutoia,58860,1566.09,37.5840948912194
21,Vargem Grande,56510,1958.70,28.8507241781934
22,Viana,52441,1166.75,44.9464107409931
23,Zé Doca,51714,2140.11,24.1641897679043
24,Lago da Pedra,50266,1240.44,40.5225870736607
25,Coelho Neto,49435,975.54,50.6743423918782
26,Presidente Dutra,47804,771.57,61.9564682065492
27,Araioses,46440,1786.35,25.9972177826792
28,São Bento,45211,458.05,98.7027673713901
29,Rosário,42740,648.00,65.956993694425
30,Santa Helena,42130,2188.95,19.2466356076921
31,Estreito,41946,2718.98,15.4271200428985
32,Tuntum,41832,3369.12,12.4162986180368
33,Bom Jardim,41630,6590.53,6.31663821928764
34,São Mateus do Maranhão,41529,783.22,53.0231453581606
35,Amarante do Maranhão,41435,7438.22,5.57055541670806
36,Colinas,41178,1980.55,20.7911838675197
37,Pedreiras,39229,261.72,149.887476454114
38,Penalva,38470,800.92,48.0325627563474
39,Santa Rita,37855,756.80,50.0200185782977
40,Brejo,36397,1074.24,33.8817541024505
41,Turiaçu,35604,2592.17,13.735194371672
42,Parnarama,34907,3240.49,10.7721296642609
43,São Domingos do Maranhão,34376,1151.98,29.8408476550767
44,Bom Jesus das Selvas,34028,2679.07,12.7014035446576
45,Matões,33782,2107.40,16.0301565481306
46,Monção,33434,1239.91,26.9648168579706
47,Urbano Santos,33122,1705.91,19.4159846275955
48,Pindaré-Mirim,32941,273.53,120.430964515256
49,Vitória do Mearim,32764,716.72,45.7138711266201
50,Cururupu,32695,1256.88,26.0127426238221
51,Arame,32701,2976.04,10.9880952500958
52,Alto Alegre do Pindaré,31919,1876.03,17.0141021048681
53,Vitorino Freire,31523,1193.39,26.4147781311144
54,Raposa,30761,79.82,385.365120328727
55,Arari,29848,1100.28,27.127763513667
56,Buriti,28678,1473.96,19.4563774963296
57,Timbiras,29124,1486.58,19.5912239066208
58,Humberto de Campos,28717,1714.22,16.7522645920934
59,São Bernardo,28507,1006.92,28.3110872760497
60,Miranda do Norte,28381,341.11,83.2026314323658
61,Icatu,27113,1124.73,24.10622993963
62,Alto Alegre do Maranhão,27053,383.31,70.577707744164
63,Anajatuba,26803,942.57,28.43614466012
64,Aldeias Altas,26532,1942.12,13.6613527169522
65,Itinga do Maranhão,26000,3581.72,7.25907614854638
66,São João dos Patos,25929,1482.66,17.4881513710821
67,Santa Quitéria do Maranhão,25642,1434.76,17.872015958103
68,Turilândia,25619,1511.86,16.9453857077753
69,Governador Nunes Freire,25577,1037.13,24.6613250026515
70,Santa Luzia do Paruá,25254,1010.48,24.9920087720427
71,Pedro do Rosário,25144,1753.87,14.3363044788408
72,Carolina,24322,6441.60,3.77576823657093
73,Porto Franco,23885,1417.49,16.8501713941445
74,Buriti Bravo,23884,1582.55,15.0920791228345
75,João Lisboa,23632,1135.21,20.8172753787622
76,Carutapera,23807,1260.98,18.8798051035031
77,Matinha,23370,410.63,56.9122718151532
78,Dom Pedro,23350,358.49,65.1337683023099
79,Peritoró,23196,824.73,28.1257388826579
80,São Vicente Ferrer,22247,392.87,56.6262974897804
81,Alcântara,22097,1168.25,18.9146806408924
82,Trizidela do Vale,21998,292.04,75.3263296305935
83,Cantanhede,21995,773.01,28.4537069378145
84,Centro Novo do Maranhão,21622,8401.41,2.57361439395797
85,Pio XII,21485,545.14,39.4118941923176
86,Maracaçumé,21395,635.82,33.649248848738
87,Paraibano,21386,530.52,40.3116205512736
88,Bequimão,21280,790.22,26.9292095872036
89,Paulo Ramos,21040,1168.61,18.0043111083348
90,Mirador,21015,8521.08,2.46623638479672
91,Nova Olinda do Maranhão,20928,2452.62,8.53293321617947
92,São João Batista,20665,649.96,31.7944599326724
93,Riachão,20195,6373.03,3.16882236549961
94,Cândido Mendes,20178,1634.86,12.3423336907541
95,Magalhães de Almeida,19826,433.15,45.7714612884161
96,Palmeirândia,19722,532.16,37.0602129806581
97,Olho d'Água das Cunhãs,19505,695.33,28.0513077906557
98,Pastos Bons,19472,1635.32,11.9071423897816
99,Morros,19433,1712.71,11.3463392247729
100,Cajari,19379,662.07,29.2704956907619
101,Formosa da Serra Negra,19089,3690.61,5.17231568765055
102,Passagem Franca,19019,1358.33,14.0017830757984
103,Presidente Sarney,18918,724.15,26.1242774327008
104,São Raimundo das Mangabeiras,18868,3521.52,5.35792123560456
105,São Luís Gonzaga do Maranhão,18856,909.16,20.739955321543
106,Barão de Grajaú,18820,2208.32,8.52230016972147
107,São Benedito do Rio Preto,18663,931.49,20.0357493679447
108,Pirapemas,18625,688.76,27.0413104110134
109,Bacuri,18582,881.43,21.0816274898432
110,São João do Soter,18543,1438.07,12.89439226406
111,Governador Edison Lobão,18296,615.86,29.7080505309648
112,Sítio Novo,18081,3114.87,5.80473477071763
113,Gonçalves Dias,17934,883.59,20.2967899066081
114,Poção de Pedras,17873,990.42,18.0459706284739
115,Esperantinópolis,17241,452.44,38.1067945071048
116,Apicum-Açu,17239,340.29,50.6600291517773
117,Bacabeira,17055,542.96,31.4110379731915
118,Mata Roma,16829,548.55,30.6791748397588
