Position,City,Population,Area,Density
0,Belo Horizonte,2513451,331.401,7584.31929897616
1,Uberlândia,669672,4115.206,162.731100217097
2,Contagem,653800,195.045,3352.04696352124
3,Juiz de Fora,559636,1435.749,389.786794209851
4,Betim,422354,343.856,1228.28742264204
5,Montes Claros,398288,3568.941,111.598370497019
6,Ribeirão das Neves,325846,155.454,2096.09273482831
7,Uberaba,325279,4523.957,71.9014349605887
8,Governador Valadares,279665,2342.325,119.396326299724
9,Ipatinga,259324,164.884,1572.76630843502
10,Sete Lagoas,234221,536.644,436.455080090339
11,Divinópolis,232945,708.115,328.964928013105
12,Santa Luzia,217610,235.076,925.700624478892
13,Ibirité,175721,72.573,2421.29993248178
14,Poços de Caldas,164912,546.958,301.507611187696
15,Patos de Minas,149856,3190.187,46.9740488566971
16,Pouso Alegre,145535,542.797,268.120494402143
17,Teófilo Otoni,141502,3242.27,43.6428798341902
18,Barbacena,135829,759.186,178.91399472593
19,Sabará,135196,302.419,447.048631203727
20,Varginha,133384,395.396,337.342815809973
21,Conselheiro Lafaiete,125420,370.246,338.747751494952
22,Vespasiano,120510,71.08,1695.41361845808
23,Itabira,118481,1253.704,94.5047634848417
24,Araguari,116871,2729.508,42.8176066895573
25,Passos,113807,1338.07,85.0530988662776
26,Ubá,112186,407.452,275.335499641676
27,Coronel Fabriciano,109857,221.252,496.52432520384
28,Muriaé,107916,841.693,128.213018285765
29,Ituiutaba,103945,2598.046,40.008914391816
30,Araxá,103287,1164.062,88.7298099242137
31,Lavras,101208,564.744,179.210403297777
32,Itajubá,96523,294.835,327.37972086082
33,Nova Serrana,92332,282.472,326.87133592002
34,Itaúna,92091,495.769,185.753849070837
35,Pará de Minas,91969,551.247,166.838096171045
36,Paracatu,91724,8229.587,11.1456382926628
37,Caratinga,91342,1258.479,72.5812667513721
38,Nova Lima,91069,429.004,212.280071980681
39,São João del Rei,89333,1452.002,61.5240199393665
40,Timóteo,88255,144.381,611.264640084222
41,Manhuaçu,87735,628.318,139.634707266066
42,Patrocínio,84132,2874.344,29.2699829943806
43,Unaí,83448,8448.082,9.87774503135741
44,Curvelo,79401,3296.2,24.0886475335235
45,Alfenas,79222,850.446,93.1534747650057
46,João Monlevade,79100,99.158,797.716775247585
47,Três Corações,78474,828.038,94.7710129245276
48,Viçosa,77863,299.418,260.047826115998
49,Cataguases,74609,491.767,151.716158261941
50,Ouro Preto,74356,1245.865,59.6822288129131
51,Janaúba,71279,2181.319,32.6770178960528
52,São Sebastião do Paraíso,70066,814.925,85.9784642758536
53,Januária,68420,6661.588,10.2708243139624
54,Formiga,68236,1501.915,45.4326642985788
55,Esmeraldas,68133,909.679,74.8978485817525
56,Pedro Leopoldo,63406,292.947,216.441881978651
57,Lagoa Santa,60787,229.409,264.972167613302
58,Ponte Nova,60188,470.643,127.884617427647
59,Mariana,59343,1194.208,49.6923484016185
60,Frutal,58295,2426.965,24.0197118623466
61,Três Pontas,56879,689.794,82.4579512144205
62,São Francisco,56619,3308.1,17.1152625374082
63,Pirapora,56474,549.514,102.770812026627
64,Campo Belo,54272,528.225,102.744095792513
65,Congonhas,53348,304.067,175.44817425107
66,Leopoldina,53252,943.077,56.4662270419064
67,Guaxupé,52108,286.398,181.942611331085
68,Lagoa da Prata,50714,439.984,115.263282301175
69,Itabirito,50305,542.609,92.7094832558988
70,Bom Despacho,49650,1213.546,40.9131586276911
71,João Pinheiro,48472,10727.471,4.51849275565508
72,Monte Carmelo,48096,1343.035,35.8114271035379
73,Diamantina,48095,3891.659,12.3584825905867
74,Santos Dumont,47560,637.373,74.6187868014491
75,São Lourenço,45128,58.019,777.81416432548
76,Caeté,44066,542.531,81.2230084548164
77,Santa Rita do Sapucaí,41886,352.969,118.667645033983
78,Nanuque,41808,1518.166,27.5384905207994
79,Oliveira,41739,897.294,46.5165263559101
80,Machado,41651,585.958,71.0818864150673
81,Visconde do Rio Branco,41567,243.35,170.81158824738
82,Almenara,41552,2294.426,18.1099760898804
83,Salinas,41494,1862.117,22.2832399897536
84,Igarapé,40468,110.942,364.767175641326
85,Boa Esperança,40412,860.669,46.9541716966685
86,Andradas,40407,469.396,86.0829661948547
87,Arcos,39537,509.873,77.5428390991482
88,Várzea da Palma,38838,2220.279,17.4923962258797
89,Porteirinha,38730,1749.683,22.1354382479569
90,Ouro Branco,38601,258.726,149.196447206697
91,Brumadinho,38373,639.434,60.0108846260912
92,Iturama,38102,1404.663,27.125367436887
93,Capelinha,37606,965.377,38.9547296030463
94,Jaíba,37516,2635.467,14.23504828556
95,Araçuaí,37317,2236.279,16.6870949465608
96,Matozinhos,37040,252.28,146.820992547963
97,Além Paraíba,35795,510.25,70.1518863302303
98,São Gotardo,34728,866.087,40.0975883485146
99,Itamarandiba,34462,2735.573,12.5977263264406
100,Piumhi,33306,902.468,36.9054636840309
101,Guanhães,33815,1075.124,31.4521859804078
102,Extrema,33729,244.575,137.908616988654
103,Taiobeiras,33576,1220.046,27.520273825741
104,Ouro Fino,33557,533.714,62.8744983268192
105,Carangola,33513,353.404,94.8291473780716
106,Brasília de Minas,32650,1399.484,23.3300273529387
107,Santana do Paraíso,32232,276.067,116.754266174516
108,Espinosa,32183,1868.97,17.2196450451318
109,Minas Novas,31963,1812.398,17.6357510877854
110,Novo Cruzeiro,31844,1702.981,18.6989755023691
111,Barão de Cocais,31628,340.585,92.8637491375134
112,Pompéu,31401,2551.074,12.3089334139268
113,Três Marias,31366,2678.253,11.7113655804735
114,Rio Pardo de Minas,30878,3117.675,9.90417538710738
115,Carmo do Paranaíba,30823,1307.862,23.5674711857979
116,Sarzedo,30478,62.134,490.520487977597
117,Santa Bárbara,30436,684.06,44.4931731134696
118,Mateus Leme,30423,301.383,100.944645185694
119,São Joaquim de Bicas,29674,71.758,413.528805150645
120,Campos Gerais,28970,769.504,37.6476275626897
121,Cambuí,28924,244.567,118.266160193321
122,Coromandel,28483,3313.116,8.59704278389287
123,Buritizeiro,28251,7218.401,3.91374765685641
124,Mantena,28097,685.208,41.0050670745234
125,Cláudio,28063,630.706,44.4945822617828
126,Santo Antônio do Monte,27938,1125.78,24.8165716214536
127,Prata,27637,4847.544,5.70123757515146
128,Mutum,27512,1250.824,21.9951008295332
129,Elói Mendes,27505,499.537,55.0609864734744
130,Pitangui,27495,569.636,48.267665667198
131,Coração de Jesus,27014,2225.216,12.1399450660071
132,Nepomuceno,26977,582.553,46.3082328989809
133,São João Nepomuceno,26439,407.427,64.8926065282861
134,Conceição das Alagoas,26428,1340.25,19.7187091960455
135,Francisco Sá,26325,2747.295,9.5821526264926
136,Belo Oriente,25895,334.909,77.3195106730485
137,São João da Ponte,25880,1851.102,13.9808611302889
138,Sacramento,25819,3073.268,8.40115473170579
139,Aimorés,25703,1348.913,19.0546017422918
140,Juatuba,25490,97.172,262.318363314535
141,Jequitinhonha,25465,3514.216,7.24628195876406
142,Tupaciguara,25452,1823.96,13.9542533827496
143,São Gonçalo do Sapucaí,25399,516.683,49.1578008179096
144,Carandaí,25214,487.28,51.7443769495978
145,Jacutinga,25199,347.667,72.4802756660828
146,Ibiá,24946,874.76,28.5175362385111
147,Inhapim,24813,858.024,28.918771502895
148,Pedra Azul,24717,1594.651,15.4999432477702
149,Espera Feliz,24641,317.638,77.5757308634357
150,Buritis,24524,5225.186,4.69342143992578
151,Corinto,24407,2525.397,9.66461906781389
152,Raul Soares,24381,763.364,31.9388915379819
153,Paraopeba,24273,625.623,38.7981260279753
154,Bambuí,23936,1455.819,16.4416043477932
155,Caraí,23679,1242.345,19.0599229682576
156,São João do Paraíso,23630,1925.575,12.2716591148099
157,Itambacuri,23612,1419.209,16.6374367693553
158,Abaeté,23574,1817.067,12.9736547964384
159,Monte Sião,23238,291.594,79.6929977983086
160,Conselheiro Pena,23192,1483.884,15.6292540387254
161,Manhumirim,22683,182.9,124.018589393111
162,São José da Lapa,22592,47.93,471.354058001252
163,Caxambu,22219,100.483,221.121980832579
164,Itapecerica,22134,1040.519,21.2720767232506
165,Camanducaia,22007,528.688,41.6256847138577
166,Carmo do Cajuru,21941,455.808,48.1364960685201
167,Monte Santo de Minas,21932,594.632,36.8833160677528
168,Monte Azul,21884,1001.296,21.8556750451415
169,Itaobim,21562,679.024,31.7544004335635
170,Paraguaçu,21486,424.296,50.6391764240059
171,Medina,21433,1435.903,14.9264957312576
172,Serro,21431,1217.813,17.5979399135992
173,Campestre,21417,577.843,37.0637006937871
174,Carmo do Rio Claro,21400,1065.685,20.0809807776219
175,Perdões,21344,270.657,78.8599592842602
176,Muzambinho,21021,409.948,51.2772351615327
177,Monte Alegre de Minas,20979,2595.957,8.08141275067345
178,Paraisópolis,20850,331.238,62.9456765226212
179,Barroso,20790,82.07,253.320336298282
180,Lambari,20773,213.11,97.4754821453709
181,Vazante,20720,1913.396,10.8289136174634
182,Lajinha,20282,431.92,46.9577699573995
183,Padre Paraíso,20076,544.375,36.8789896670494
184,Divino,20074,337.776,59.4299180522003
185,Campina Verde,20052,3650.749,5.49257152436391
186,Carlos Chagas,19857,3202.984,6.19953143693506
187,Alpinópolis,19741,454.751,43.4105697403634
188,Varzelândia,19712,814.994,24.1866811289408
189,Turmalina,19612,1153.111,17.007902968578
