Position,City,Population,Area,Density
0,Campo Grande,895982,8092.951,110.711407989496
1,Dourados,222949,4086.237,54.5609566943866
2,Três Lagoas,121388,10206.949,11.8926821325354
3,Corumbá,111435,64721.719,1.72175587610706
4,Ponta Porã,92526,5330.448,17.3580156864864
5,Sidrolândia,57665,5286.405,10.9081691622189
6,Naviraí,54878,3193.552,17.1840007615345
7,Nova Andradina,54374,4776.002,11.3848361035025
8,Aquidauana,47871,16970.71,2.82080125109674
9,Maracaju,47083,5299.184,8.88495285311852
10,Paranaíba,42148,5402.652,7.80135385362596
11,Amambai,39396,4202.324,9.37481260369263
12,Rio Brilhante,37514,3987.397,9.40814270562976
13,Coxim,33543,6409.224,5.23355089477291
14,Caarapó,30174,2089.6,14.4400842266462
15,Miranda,28013,5475.367,5.11618673232315
16,São Gabriel do Oeste,26771,3864.691,6.92707385920375
17,Jardim,26097,2201.515,11.8541095563737
18,Aparecida do Taboado,25745,2750.15,9.36130756504191
19,Chapadão do Sul,25218,3249.542,7.76047824585742
20,Anastácio,25135,2946.317,8.53098970681023
21,Bela Vista,24629,4892.603,5.03392570376137
22,Ribas do Rio Pardo,24615,17308.805,1.42210857421988
23,Itaporã,24839,1321.811,18.7916426781136
24,Ladário,23331,340.765,68.466538523616
25,Ivinhema,23187,2010.168,11.5348567880894
26,Bataguassu,23024,2417.59,9.52353376709864
27,Bonito,21976,4934.414,4.45361901129496
28,Cassilândia,21939,3649.728,6.01113288442317
29,Nova Alvorada do Sul,21882,4019.323,5.44420042877868
30,Terenos,21806,2841.686,7.67361348157397
31,Itaquiraí,21142,2064.042,10.2430086209486
32,Costa Rica,20823,4159.003,5.00672877610331
33,Rio Verde de Mato Grosso,19746,8154.522,2.42147853669412
34,Sonora,19274,4075.423,4.72932502957362
35,Fátima do Sul,19189,315.16,60.8865338240893
36,Mundo Novo,18366,477.78,38.4402863242497
37,Porto Murtinho,17131,17985.54,0.952487387089851
38,Iguatemi,16078,2946.517,5.45661199307521
39,Água Clara,15522,7784.924,1.99385376144969
40,Coronel Sapucaia,15253,1025.049,14.8802642605378
41,Paranhos,14228,1309.156,10.8680707264833
42,Nioaque,13930,3923.79,3.55013902375
43,Camapuã,13711,6228.631,2.20128628586282
44,Deodápolis,12924,831.21,15.5484173674523
45,Eldorado,12353,1017.785,12.1371409482356
46,Aral Moreira,12149,1655.66,7.3378592223041
47,Brasilândia,11872,5807.224,2.04435027820521
48,Tacuru,11552,1785.322,6.47054144854542
49,Dois Irmãos do Buriti,11385,2341.649,4.86195838915226
50,Batayporã,11329,1828.024,6.1974022222903
51,Sete Quedas,10791,833.733,12.9429925407774
52,Angélica,10780,1273.268,8.46640298821615
53,Glória de Dourados,9965,491.746,20.2645268085556
54,Guia Lopes da Laguna,9895,1210.606,8.17359239917859
55,Japorã,9110,419.397,21.7216622913373
56,Anaurilândia,9035,3395.437,2.66092405778697
57,Antônio João,8956,1145.175,7.82063876700068
58,Bodoquena,7875,2507.319,3.14080497934248
59,Santa Rita do Pardo,7851,6139.729,1.27872093377411
60,Pedro Gomes,7674,3651.175,2.10178915006813
61,Inocência,7610,5776.028,1.31751438878066
62,Laguna Carapã,7341,1734.068,4.23339799823306
63,Jaraguari,7187,2912.822,2.4673666979994
64,Bandeirantes,6788,3115.684,2.17865483149126
65,Juti,6712,1584.529,4.23595907679822
66,Selvíria,6529,3258.325,2.00379029102376
67,Caracol,6116,2940.251,2.08009452254246
68,Vicentina,6102,310.163,19.673526500582
69,Corguinho,5947,2638.168,2.25421580430056
70,Douradina,5924,280.787,21.0978428488498
71,Paraíso das Águas,5555,5061.433,1.09751526889717
72,Rochedo,5499,1561.055,3.52261771686456
73,Alcinópolis,5343,4399.681,1.21440622626959
74,Rio Negro,4831,1807.668,2.67250402175621
75,Jateí,4027,1927.949,2.08874819821479
76,Novo Horizonte do Sul,3814,849.095,4.49184131339838
77,Taquarussu,3588,1041.121,3.44628530209265
78,Figueirão,3051,4882.873,0.624837058018916
