Position,City,Population,Area,Density
0,Belém,1492745,1059.46,1408.97043582662
1,Ananindeua,530598,190.45,2786.00794955133
2,Santarém,304589,17898.39,17.0176768423125
3,Marabá,279349,15128.06,18.4656219588793
4,Parauapebas,208273,6886.21,30.2449475821817
5,Castanhal,200793,1030.26,194.895274110153
6,Abaetetuba,157698,1610.65,97.9094788380599
7,Cametá,136390,3081.37,44.2628223123049
8,Marituba,129321,103.34,1251.37648413536
9,Bragança,126436,2098.14,60.2608781856727
10,São Félix do Xingu,124763,84212.93,1.48151830172592
11,Barcarena,122294,1310.34,93.3299754262253
12,Altamira,113195,159533.33,0.709538260243653
13,Tucuruí,112148,2084.29,53.8063579474823
14,Paragominas,111764,19342.57,5.77813749107215
15,Tailândia,103664,4430.48,23.3979320962506
16,Breves,101891,9566.57,10.6507325717091
17,Itaituba,101097,62042.47,1.62948052746834
18,Redenção,83997,3823.81,21.9668398709245
19,Moju,80988,9094.14,8.90551595923484
20,Novo Repartimento,74602,15398.72,4.84468964814989
21,Oriximiná,72160,107603.44,0.670610555596013
22,Santana do Araguaia,71187,11591.46,6.14133428460879
23,Santa Izabel do Pará,69746,717.66,97.1850258199542
24,Capanema,68616,614.69,111.626454181193
25,Breu Branco,64738,3941.91,16.4229988957133
26,Tomé-Açu,62854,5145.36,12.2156637794705
27,Ipixuna do Pará,62455,5215.56,11.9747562819297
28,Igarapé-Miri,62355,1996.79,31.2276203306307
29,Benevides,61689,187.83,328.436957609703
30,Portel,61126,25384.96,2.40796124949576
31,Viseu,61049,4939.25,12.3599636706272
32,Dom Eliseu,58956,5268.81,11.1896255871109
33,Jacundá,58457,2008.32,29.1074856284995
34,São Miguel do Guamá,58328,1110.18,52.5394644988403
35,Monte Alegre,57900,18152.56,3.18963293274518
36,Ulianópolis,57632,5088.47,11.3260022466487
37,Juruti,56908,8305.45,6.85188311198882
38,Alenquer,56480,23645.45,2.38862001876724
39,Acará,55513,4343.55,12.7805596804457
40,Capitão Poço,54179,2899.55,18.6852939056468
41,Vigia,53191,401.59,132.451337063515
42,Itupiranga,53182,7880.11,6.74889141761872
43,Óbidos,51964,28021.44,1.85443697528354
44,Rondon do Pará,51903,8246.39,6.294023787852
45,Rurópolis,49503,7021.32,7.05038268439799
46,Conceição do Araguaia,47734,5829.48,8.18837762943603
47,Pacajá,46986,11832.33,3.97098458207302
48,Baião,46416,3759.83,12.3452258796532
49,Uruará,45517,10791.41,4.21789338664489
50,Augusto Corrêa,45516,1085.84,41.9176621297922
51,Xinguara,44751,3779.35,11.8409312929108
52,Porto de Moz,40458,17423.02,2.32210070161787
53,Salinópolis,40424,223.16,181.146821057915
54,Goianésia do Pará,39857,7023.94,5.67444971419891
55,Muaná,39783,3763.34,10.5712031635753
56,Curuçá,39540,672.95,58.7563972253428
57,Tucumã,39059,2512.59,15.5452890518723
58,Afuá,38863,8338.44,4.6607050385216
59,Igarapé-Açu,38588,785.98,49.0952094383721
60,Canaã dos Carajás,36050,3146.41,11.4575132842
61,Almeirim,34142,72954.80,0.467988411125475
62,Curralinho,33893,3617.25,9.36981996277837
63,Eldorado do Carajás,33674,2956.69,11.3890871210712
64,Cachoeira do Piriá,33178,2419.60,13.7121838320384
65,Gurupá,32991,8570.33,3.84944202284789
66,Concórdia do Pará,32847,690.95,47.5391021308436
67,Irituia,32504,1379.36,23.5645175088193
68,Ourilândia do Norte,32319,14410.57,2.24272924167384
69,Oeiras do Pará,32168,3852.29,8.35035567146926
70,São Domingos do Capim,31837,1677.25,18.9816777353869
71,Medicilândia,31213,8272.63,3.7730448204555
72,Santo Antônio do Tauá,31038,537.63,57.7316903045803
73,Aurora do Pará,30896,1811.84,17.0522783468739
74,Mocajuba,30736,871.17,35.2812478835958
75,Tracuateua,30656,869.00,35.2773708600355
76,Ponta de Pedras,30608,3363.75,9.09937096971266
77,Placas,30293,7173.19,4.22308388703833
78,Bagre,30009,4397.32,6.8243823910058
79,Mãe do Rio,29917,469.49,63.7220655517027
80,Prainha,29886,14786.95,2.02110603854628
81,Maracanã,29429,807.63,36.4388059849337
82,Anajás,28859,6913.64,4.17421213716653
83,Bujaru,28832,1005.17,28.6837623163491
84,Limoeiro do Ajuru,28583,1490.19,19.1808270913832
85,Marapanim,28220,804.76,35.0663551866395
86,Melgaço,27415,6774.02,4.04708106769129
87,Água Azul do Norte,27241,7113.96,3.82923423046674
88,Anapu,27161,11895.30,2.28333956548874
89,São Sebastião da Boa Vista,26301,1632.25,16.1133306090791
90,Garrafão do Norte,26020,1599.03,16.2723854741756
91,Novo Progresso,25758,38162.04,0.674964005457256
92,São Domingos do Araguaia,25358,1392.46,18.2108837284124
93,Soure,25181,2857.35,8.81271416267316
94,São Geraldo do Araguaia,24991,3168.38,7.88761715751626
95,Santa Maria do Pará,24725,457.72,54.017268047994
96,Chaves,23482,12535.00,1.87331546602133
97,Cachoeira do Arari,23466,3100.26,7.5690401550063
98,Salvaterra,23424,918.56,25.5007005507516
99,São João de Pirabas,22842,656.25,34.8071223399797
100,Nova Esperança do Piriá,21291,2808.20,7.58173844765054
101,Santa Maria das Barreiras,21042,10330.21,2.03693747293134
102,Santa Bárbara do Pará,20704,278.15,74.4335871495646
103,Floresta do Araguaia,20080,3444.29,5.8299472894955
104,Santa Luzia do Pará,19852,1356.12,14.6387793446617
105,Trairão,18807,11991.09,1.56841520179367
106,Terra Santa,18619,1895.88,9.82075370684794
107,Rio Maria,18186,4114.63,4.41984170132554
108,Curionópolis,18014,2369.10,7.60373779387767
109,São Caetano de Odivelas,17970,464.17,38.7145977947545
110,Ourém,17721,562.39,31.5102740456766
111,Belterra,17624,4398.42,4.00689520641285
112,Bom Jesus do Tocantins,16841,2816.62,5.97916080857312
113,Nova Ipixuna,16499,1564.18,10.5479917963616
114,Aveiro,16371,17074.05,0.95882336542023
115,Bonito,16038,586.74,27.3342695863216
116,Mojuí dos Campos,15982,4988.24,3.2039382258578
117,São Francisco do Pará,15833,479.44,33.0238757219345
118,Nova Timboteua,15218,489.85,31.0664627959816
119,Brasil Novo,15190,6362.58,2.38739818391139
120,Vitória do Xingu,14987,3089.54,4.85088866066339
121,Curuá,14197,1431.13,9.92011224673039
122,São João do Araguaia,13940,1279.89,10.8915695032929
123,Quatipuru,13512,289.62,46.6539144125792
124,Cumaru do Norte,13179,17085.00,0.771378356957661
125,Piçarra,12983,3312.71,3.91915013336521
126,Colares,12040,384.07,31.3485337270126
127,Senador José Porfírio,11839,14419.92,0.821017265287814
128,Terra Alta,11591,204.97,56.5497389861931
129,Inhangapi,11559,471.64,24.5078915453181
130,Primavera,10792,258.60,41.7324052590874
131,Santa Cruz do Arari,9939,1076.65,9.23139510259582
132,Jacareacanga,8899,53304.56,0.16694630501058
133,Magalhães Barata,8523,323.98,26.3068546594894
134,Peixe-Boi,8073,450.22,17.9311539640444
135,Palestina do Pará,7596,984.36,7.71667333765424
136,Brejo Grande do Araguaia,7392,1288.48,5.73700578279628
137,Abel Figueiredo,7382,614.13,12.0202367247379
138,Faro,7319,11771.67,0.6217470097061
139,Santarém Novo,6664,229.51,29.0357718617925
140,São João da Ponta,6059,195.92,30.9262038199655
141,Sapucaia,5849,1298.19,4.5055038168527
142,Pau-d'Arco,5557,1671.42,3.32471989369512
143,Bannach,3310,2956.65,1.11951063518192
