Position,City,Population,Area,Density
0,João Pessoa,809015,211.286,3829.00428802666
1,Campina Grande,409731,593.026,690.915743997734
2,Santa Rita,136586,728.113,187.589014342554
3,Patos,107605,473.056,227.467783941013
4,Bayeux,96880,27.536,3518.30331202789
5,Sousa,69444,738.547,94.0278682331659
6,Cabedelo,67736,29.763,2275.84584887276
7,Cajazeiras,61993,565.899,109.547816836573
8,Guarabira,58833,165.744,354.963075586447
9,Sapé,52625,315.532,166.7818161074
10,Mamanguape,44882,340.482,131.819009521796
11,Queimadas,43967,402.923,109.120104833926
12,São Bento,34031,248.2,137.111200644641
13,Monteiro,33222,986.356,33.6815510829761
14,Esperança,33007,159.663,206.729173321308
15,Pombal,32801,889.493,36.8760631056118
16,Catolé do Rocha,30546,552.112,55.3257310110992
17,Alagoa Grande,28496,320.563,88.8936028175429
18,Pedras de Fogo,28458,404.882,70.2871453905088
19,Lagoa Seca,27503,107.603,255.596962909956
20,Solânea,26407,232.97,113.349358286475
21,Itaporanga,24692,468.059,52.7540331453941
22,Conde,24670,172.744,142.812485527717
23,Itabaiana,24477,218.915,111.810520064865
24,Rio Tinto,24176,466.984,51.770510338684
25,Princesa Isabel,23345,367.975,63.4418099055642
26,Areia,22819,266.596,85.5939323920839
27,Mari,21837,154.824,141.044024182297
28,Caaporã,21828,150.168,145.357199936072
29,Bananeiras,11318,257.753,43.9102551667682
30,Alagoa Nova,20849,123.731,168.502638788986
31,Cuité,20338,741.84,27.4156152270031
32,Araruna,20312,241.302,84.1766748721519
33,São José de Piranhas,20251,677.305,29.8993806335403
34,Remígio,19621,180.897,108.465038115613
35,Alhandra,19588,182.663,107.235729184345
36,Aroeiras,19153,374.697,51.1159683691089
37,Pitimbu,19065,137.243,138.914188701792
38,Conceição,18982,579.436,32.7594419400935
39,Picuí,18703,661.657,28.26691170803
40,Itapororoca,18664,146.067,127.776979057556
41,Pocinhos,18564,628.084,29.5565561294349
42,Juazeirinho,18171,467.526,38.8662876503125
43,Ingá,18103,267.63,67.6418936591563
44,São João do Rio do Peixe,18034,473.752,38.0663300629865
45,Boqueirão,17804,374.523,47.5378014167354
46,Belém,17676,100.153,176.489970345372
47,Cruz do Espírito Santo,17319,191.104,90.6260465505693
48,Cacimba de Dentro,17187,168.107,102.23845526956
49,Araçagi,16987,231.155,73.4874867513141
50,Sumé,16966,838.07,20.2441323517129
51,Piancó,16075,564.735,28.4646781233676
52,Coremas,15445,379.492,40.6991451730208
53,Barra de Santa Rosa,15384,775.646,19.8337901568499
54,Santa Luzia,15382,455.717,33.7534039765907
55,Taperoá,15376,628.409,24.468140971883
56,Uiraúna,15242,294.498,51.7558693098086
57,Teixeira,15161,160.9,94.2262274704786
58,Soledade,14989,560.044,26.7639685453286
59,Tavares,14726,237.33,62.0486242784309
60,Alagoinha,14489,96.98,149.40193854403
61,Jacaraú,14431,253.009,57.0374966898411
62,Gurinhém,14129,346.067,40.8273542406528
63,Brejo do Cruz,14122,399.02,35.3917096887374
64,Massaranduba,13918,205.957,67.5772127191598
65,Serra Branca,13699,687.535,19.9248038281688
66,Puxinanã,13680,72.677,188.230114066348
67,Arara,13470,99.111,135.908224112359
68,Mogeiro,13284,214.389,61.9621342512909
69,Lucena,13080,89.204,146.630195955338
70,Paulista,12347,576.838,21.4046231350917
71,Salgado de São Félix,12140,202.436,59.9695706297299
72,Bonito de Santa Fé,11917,228.327,52.1926885563249
73,Pilar,11917,101.999,116.8344787694
74,Imaculada,11819,316.984,37.2857936047245
75,São Sebastião de Lagoa de Roça,11661,49.964,233.38803938836
76,Fagundes,11253,189.026,59.5314930221239
77,Itatuba,10962,244.222,44.8853911605015
78,Manaíra,10955,352.57,31.0718438891568
79,Tacima,10911,246.005,44.3527570577834
80,São Vicente do Seridó,10775,264.675,40.7103050911495
81,Juripiranga,10756,78.557,136.919688888323
82,Nova Floresta,10638,47.379,224.52985499905
83,Pirpirituba,10579,79.844,132.495866940534
84,Natuba,10454,203.387,51.3995486437186
85,Dona Inês,10453,166.128,62.9213618414716
86,Cachoeira dos Índios,10244,193.068,53.0590258354569
87,Água Branca,10234,236.608,43.2529753854477
88,Umbuzeiro,9907,460.573,21.5101623412575
89,Mulungu,9902,195.314,50.6978506405071
90,Juru,9867,403.279,24.466932322288
91,Triunfo,9455,219.866,43.0034657473188
92,Baía da Traição,8993,102.64,87.6169134840218
93,Marcação,8558,123.832,69.1097616125073
94,Riacho dos Cavalos,8526,264.025,32.2923965533567
95,Mataraca,8434,183.905,45.86063456676
96,Barra de Santana,8359,374.374,22.3279394402389
97,Aparecida,8347,295.705,28.2274564177136
98,Gado Bravo,8316,192.406,43.2211053709344
99,Desterro,8297,179.387,46.2519580571613
100,Juarez Távora,7936,70.841,112.025521943507
101,Pedra Lavrada,7843,337.22,23.2578138900421
102,Cubati,7797,163.227,47.7678325277068
103,Sobrado,7783,61.743,126.054775440131
104,Jericó,7739,179.311,43.1596499935866
105,São Mamede,7724,530.728,14.5535943081955
106,Lagoa de Dentro,7719,84.508,91.3404648080655
107,São José da Lagoa Tapada,7630,341.806,22.3226040502507
108,Casserengue,7468,201.381,37.0839354258843
109,São Miguel de Taipu,7368,92.526,79.6316710978536
110,Belém do Brejo do Cruz,7342,601.167,12.2129125517535
111,Nazarezinho,7301,192.165,37.9933910961934
112,Livramento,7256,270.753,26.7993337100605
113,Caiçara,7201,127.914,56.2956361305252
114,Cacimbas,7173,126.543,56.6842891349186
115,Junco do Seridó,7150,170.42,41.9551695810351
116,Boa Vista,7051,476.542,14.7961774617977
117,Serra Redonda,7041,55.905,125.945800912262
118,Santana dos Garrotes,7031,353.815,19.8719669883979
119,Areial,6998,35.641,196.346903846693
120,Cuitegi,6803,39.302,173.095516767595
121,Condado,6654,262.312,25.3667388453445
122,Pilões,6635,64.446,102.954411445241
123,Marizópolis,6617,63.61,104.024524445842
124,Santa Cruz,6583,210.166,31.322859073304
125,Maturéia,6569,83.687,78.4948677811369
126,Santa Cecília,6558,223.709,29.3148688698264
127,Diamante,6552,269.11,24.3469213332838
128,Olho d'Água,6526,596.129,10.9472949646805
129,Capim,6523,78.786,82.7938973929378
130,Brejo dos Santos,6449,93.846,68.7189651130576
131,São José de Caiana,6359,176.327,36.0636771453039
132,Cuité de Mamanguape,6353,108.448,58.5810711124226
133,Igaracy,6117,192.26,31.8162904400291
134,Serraria,6099,65.299,93.4011240600928
135,Pedro Régis,6089,73.56,82.7759651984774
136,Barra de São Miguel,6036,595.213,10.1409075406619
137,Caldas Brandão,6014,55.854,107.673577541447
138,Camalaú,6013,543.688,11.0596518591545
139,São José dos Ramos,5957,98.188,60.669328227482
140,Nova Olinda,5949,84.253,70.6087617058146
141,Ibiara,5929,244.484,24.2510757350174
142,Santa Helena,5889,210.322,27.9999239261703
143,Malta,5759,173.377,33.2166319638706
144,Montadas,5669,31.691,178.883594711432
145,Aguiar,5640,344.708,16.3616742286225
146,Cabaceiras,5611,452.925,12.3883645195121
147,Alcantil,5492,305.988,17.9484162777625
148,Boa Ventura,5366,170.58,31.4573807011373
149,Vieirópolis,5348,146.779,36.4357299068668
150,Damião,5330,185.685,28.7045264830223
151,Borborema,5263,25.979,202.58670464606
152,Curral de Cima,5227,85.096,61.4247438187459
153,Santana de Mangueira,5162,402.153,12.8359107106002
154,Sertãozinho,5024,32.798,153.180071955607
155,Pilõezinhos,4976,43.901,113.345937450172
156,Bom Sucesso,4975,184.102,27.0230633018653
157,Catingueira,4932,529.457,9.31520406756356
158,Nova Palmeira,4906,310.352,15.8078568850853
159,Baraúna,4892,112.089,43.6438901230272
160,Caturité,4852,118.08,41.0907859078591
161,Monte Horebe,4816,116.173,41.4554156301378
162,Congo,4786,333.471,14.3520725940187
163,São José de Espinharas,4682,725.656,6.4520930027451
164,Lagoa,4666,177.902,26.227923238637
165,Santa Teresinha,4573,357.95,12.7755273082833
166,São Bentinho,4529,196.823,23.0105221442616
167,Riachão do Bacamarte,4521,38.37,117.826426896013
168,Riachão do Poço,4509,39.905,112.993359228167
169,Matinhas,4500,38.124,118.035882908404
170,São João do Tigre,4422,816.116,5.41834739179234
171,Logradouro,4332,37.996,114.012001263291
172,Poço de José de Moura,4307,100.971,42.6558120648503
173,Prata,4209,192.011,21.9206191311956
174,São João do Cariri,4199,653.094,6.4293960746845
175,Caraúbas,4162,497.204,8.37080956709922
176,São José do Sabugi,4141,206.917,20.012855396125
177,Mãe d'Água,4009,243.754,16.446909589176
178,São José de Princesa,4003,158.023,25.3317555039456
179,Assunção,3990,126.428,31.5594646755466
180,Olivedos,3932,317.917,12.3680080020886
181,Poço Dantas,3888,97.251,39.979023351945
182,Salgadinho,3885,184.24,21.0866261398176
183,Pedra Branca,3801,112.932,33.6574221655509
184,Vista Serrana,3798,61.35,61.9070904645477
185,Cacimba de Areia,3682,220.38,16.7075052182594
186,São José dos Cordeiros,3628,376.793,9.62862898196092
187,Duas Estradas,3596,26.262,136.927880587922
188,Santa Inês,3595,324.425,11.0811435616861
189,Riachão,3588,39.905,89.9135446685879
190,São José do Bonfim,3557,134.724,26.4021258276179
191,Sossêgo,3555,154.751,22.9723879005628
192,Emas,3522,240.901,14.6201136566473
193,Bernardino Batista,3501,50.628,69.1514576913961
194,São Sebastião do Umbuzeiro,3489,460.573,7.57534636203164
195,Gurjão,3428,340.506,10.0673703253393
196,São Francisco,3392,95.055,35.6846036505181
197,Cajazeirinhas,3193,287.894,11.0908876183595
198,Serra da Raiz,3148,29.082,108.245650230383
199,São Domingos,3073,169.105,18.1721415688478
200,Tenório,3058,105.271,29.0488358617283
201,Ouro Velho,3039,129.4,23.4853168469861
202,Frei Martinho,2989,244.317,12.2341056905578
203,Serra Grande,2909,83.474,34.8491745932865
204,Mato Grosso,2908,83.522,34.8171739182491
205,Várzea,2810,190.526,14.7486432297954
206,Lastro,2737,102.669,26.658485034431
207,Carrapateira,2659,54.524,48.7675152226542
208,Joca Claudino,2636,74.007,35.6182523274825
209,São Domingos do Cariri,2615,218.8,11.9515539305302
210,Algodão de Jandaíra,2567,220.248,11.6550434056155
211,Bom Jesus,2561,46.169,55.470120643722
212,Santo André,2521,197.713,12.7508054604401
213,Curral Velho,2516,222.957,11.2846871818333
214,Passagem,2419,111.876,21.6221530980729
215,Zabelê,2240,109.394,20.4764429493391
216,Amparo,2238,121.984,18.3466684155299
217,Areia de Baraúnas,2128,112.089,18.9849137738761
218,Quixaba,1956,156.683,12.4838048799168
219,Riacho de Santo Antônio,1948,91.324,21.3306469274232
220,Coxixola,1921,169.878,11.3081152356397
221,São José do Brejo do Cruz,1801,254.796,7.06839981789353
222,Parari,1771,207.688,8.52721389776973
