Position,City,Population,Area,Density
0,Teresina,864845,1391.046,621.72278990055
1,Parnaíba,153078,435.942,351.143041964298
2,Picos,78222,577.304,135.495336945526
3,Piripiri,63742,1409.25,45.231151321625
4,Floriano,59935,3409.647,17.5780659992075
5,Barras,47066,1722.507,27.3241269846799
6,Campo Maior,46833,1680.803,27.8634676401696
7,União,44485,1173.447,37.9096797724993
8,Altos,40524,957.654,42.31590950385
9,Esperantina,39737,908.777,43.7257985182283
10,José de Freitas,39208,1538.172,25.4899972174763
11,Pedro II,38742,1544.565,25.0827903001816
12,Oeiras,37029,2702.486,13.7018286126182
13,São Raimundo Nonato,34710,2415.602,14.3690889475998
14,Miguel Alves,33760,1393.714,24.2230471961966
15,Luís Correia,30311,1074.712,28.2038350739547
16,Piracuruca,28791,2369.21,12.1521519831505
17,Cocal,27787,1294.125,21.4716507292572
18,Batalha,26857,1589.01,16.9017186801845
19,Corrente,26644,3048.447,8.74018803672821
20,Luzilândia,25486,704.347,36.1838695983656
21,Bom Jesus,25179,5469.182,4.60379632639762
22,Uruçuí,21558,8411.904,2.56279672235917
23,Canto do Buriti,21187,4325.642,4.89800126778869
24,Valença do Piauí,20918,1333.722,15.6839281349487
25,São João do Piauí,20601,1527.773,13.484333078278
26,Paulistana,20523,1941.393,10.5712753677385
27,Buriti dos Lopes,19781,689.234,28.6999770760003
28,Castelo do Piauí,19716,2378.847,8.28804879002307
29,Jaicós,19104,865.144,22.0818730754649
30,Pio IX,18425,1947.212,9.462246535046
31,Regeneração,17978,1251.036,14.3704897381051
32,São Miguel do Tapuio,17662,4988.193,3.54076115338761
33,Amarante,17598,1155.205,15.2336598266109
34,Água Branca,17411,97.041,179.419008460342
35,Inhuma,15308,978.222,15.6487995567468
36,Simões,14633,1075.518,13.6055370528434
37,Elesbão Veloso,14602,1383.978,10.5507457488486
38,Palmeirais,14539,1499.18,9.69796822262837
39,Joaquim Pires,14354,739.979,19.3978477767612
40,Alto Longá,14304,1737.836,8.23092627842904
41,São Pedro do Piauí,14291,518.288,27.5734726638471
42,Demerval Lobão,13817,216.807,63.7294921289442
43,Simplício Mendes,12711,1353.39,9.39197127213885
44,Porto,12568,253.21,49.6346905730421
45,Pimenteiras,12127,4562.9,2.65773959543273
46,Fronteiras,11625,778.204,14.9382424145854
47,Baixa Grande do Ribeiro,11586,7808.924,1.48368712514042
48,Itainópolis,11530,827.621,13.9314976299538
49,Capitão de Campos,11417,569.889,20.0337258659142
50,Curimatá,11388,2344.655,4.85700454864362
51,Avelino Lopes,11289,1218.073,9.26791744008774
52,Itaueira,11019,2554.181,4.31410303341854
53,Matias Olímpio,10936,226.375,48.3092214246273
54,Caracol,10916,1610.957,6.77609644453576
55,Parnaguá,10791,3429.282,3.14672284169106
56,Gilbués,10690,3494.958,3.05869197855883
57,Monte Alegre do Piauí,10613,2417.933,4.38928622091679
58,Cabeceiras do Piauí,10586,608.804,17.388190616356
59,Monsenhor Gil,10564,567.545,18.6135020130562
60,Guadalupe,10499,1023.592,10.2570164674988
61,Beneditinos,10467,934.843,11.1965324658793
62,Cristino Castro,10423,1846.339,5.6452254975928
63,Sigefredo Pacheco,10041,1031.489,9.73447123527251
64,Anísio de Abreu,9880,337.877,29.2414103357139
65,Ipiranga do Piauí,9811,529.417,18.531705630911
66,Dom Inocêncio,9556,3870.167,2.46914409636587
67,Ilha Grande,9426,134.015,70.3354102152744
68,Francisco Santos,9319,491.865,18.9462555782583
69,Murici dos Portelas,9159,480.567,19.0587368670758
70,Queimada Nova,8992,1284.674,6.99944110334606
71,Redenção do Gurgueia,8778,2468.007,3.55671600607292
72,Nossa Senhora dos Remédios,8692,357.896,24.2863848715828
73,Nazária,8570,364.525,23.5100473218572
74,Isaías Coelho,8549,787.681,10.8533784615853
75,Lagoa Alegre,8542,394.661,21.6438918464201
76,Marcolândia,8492,139.973,60.6688432769177
77,Brasileira,8329,880.342,9.46109580140445
78,Madeiro,8310,177.153,46.908604426682
79,Cristalândia do Piauí,8294,1202.895,6.89503240099926
80,Buriti dos Montes,8244,2437.326,3.38239529714121
81,São João do Arraial,7989,213.355,37.4446345293056
82,Assunção do Piauí,7846,1690.703,4.64067314010799
83,Monsenhor Hipólito,7749,401.433,19.3033457638012
84,Colônia do Piauí,7656,947.879,8.07698028967832
85,Alagoinha do Piauí,7651,535.807,14.2793953793064
86,Cajueiro da Praia,7642,271.165,28.1821031475301
87,Ribeiro Gonçalves,7341,3978.944,1.84496187933281
88,Nazaré do Piauí,7339,1315.84,5.57742582684825
89,Campo Largo do Piauí,7279,477.629,15.2398619011827
90,Acauã,7084,1279.586,5.5361656035624
91,Barro Duro,7032,159.429,44.1074083134185
92,Dirceu Arcoverde,7011,1017.057,6.89341895292004
93,Dom Expedito Lopes,6904,218.71,31.5669150930456
94,Padre Marcos,6868,278.637,24.6485570832302
95,Morro do Chapéu do Piauí,6796,328.289,20.7012723545413
96,Angical do Piauí,6788,223.06,30.4312740966556
97,Boa Hora,6781,336.954,20.1244086729939
98,Lagoa de São Francisco,6758,155.639,43.4209934527978
99,Sussuapara,6730,205.741,32.7110298870911
100,São José do Piauí,6705,373.347,17.9591639948895
101,Milton Brandão,6613,1309.128,5.05145409768945
102,Novo Oriente do Piauí,6565,525.906,12.4832194346518
103,Colônia do Gurguéia,6484,430.621,15.0573241899489
104,Massapê do Piauí,6441,530.016,12.152463321862
105,Rio Grande do Piauí,6432,635.951,10.1139867694209
106,São Francisco do Piauí,6423,1340.665,4.7909060056017
107,Santo Antônio de Lisboa,6415,385.135,16.6564970724551
108,Boqueirão do Piauí,6407,269.802,23.7470441286573
109,Patos do Piauí,6392,803.3,7.95717664633387
110,São Julião,6363,291.115,21.8573416003985
111,Santa Filomena,6253,5285.437,1.18306206279632
112,Santa Cruz do Piauí,6240,583.097,10.7014784847118
113,Betânia do Piauí,6205,580.917,10.681388218971
114,Cocal dos Alves,6153,324.863,18.9402917537547
115,São João da Serra,6139,997.035,6.15725626482521
116,São João da Fronteira,6042,817.111,7.39434422006313
117,Campo Grande do Piauí,5943,311.829,19.0585224594249
118,Caraúbas do Piauí,5868,471.242,12.4522007800663
119,Santa Luz,5860,1186.844,4.93746440138721
120,Aroazes,5835,821.212,7.10535160226592
121,Caldeirão Grande do Piauí,5776,467.083,12.3661105199718
122,São Francisco de Assis do Piauí,5755,1072.48,5.36606743249291
123,Jacobina do Piauí,5741,1333.796,4.30425642302121
124,Bonfim do Piauí,5670,289.209,19.6051990083296
125,Bom Princípio do Piauí,5630,523.142,10.7618963875965
126,Júlio Borges,5627,1283.915,4.38268888516763
127,Campinas do Piauí,5613,831.201,6.7528792674696
128,Bertolínia,5501,1225.335,4.4893845356576
129,Juazeiro do Piauí,5478,935.404,5.85629310971516
130,Joca Marques,5443,166.442,32.7020824070847
131,Geminiano,5442,441.336,12.3307412039806
132,Caxingó,5424,491.063,11.0454259433107
133,Alvorada do Gurgueia,5419,2131.921,2.54183902686826
134,Manoel Emídio,5349,1618.992,3.30390761659106
135,Francinópolis,5348,268.702,19.9030896681082
136,São José do Divino,5346,319.082,16.75431393811
137,Curral Novo do Piauí,5343,755.25,7.07447864945382
138,Fartura do Piauí,5307,712.918,7.44405387435862
139,Landri Sales,5295,1088.583,4.86412152311767
140,Santa Rosa do Piauí,5257,340.198,15.452765742303
141,Lagoa do Sítio,5177,804.698,6.43346945065105
142,Agricolândia,5139,112.392,45.7238949391416
143,Caridade do Piauí,5067,498.793,10.1585226737344
144,Campo Alegre do Fidalgo,5045,657.796,7.66955104622102
145,Palmeira do Piauí,5043,2023.513,2.49220044546292
146,São Gonçalo do Piauí,5015,150.07,33.4177383887519
147,Currais,4954,3156.657,1.56938178585763
148,Várzea Branca,4947,450.755,10.9749198566849
149,Alegrete do Piauí,4915,243.732,20.1655917154908
150,Eliseu Martins,4915,1090.45,4.50731349442891
151,Cocal de Telha,4891,310.346,15.7598293517558
152,Nossa Senhora de Nazaré,4870,356.264,13.6696382457953
153,Jatobá do Piauí,4865,650.681,7.47678201760924
154,São João da Varjota,4840,395.306,12.2436795798698
155,Conceição do Canindé,4803,824.729,5.82373118927551
156,Jurema,4763,1271.889,3.74482364420166
157,Arraial,4727,682.761,6.92335971152424
158,Coronel José Dias,4682,1914.819,2.445139723389
159,Lagoa do Barro do Piauí,4655,1329.665,3.50088180105515
160,Santana do Piauí,4634,111.063,41.7240665208035
161,São João da Canabrava,4608,480.537,9.58927200194782
162,São Lourenço do Piauí,4573,672.7,6.79797829641742
163,Socorro do Piauí,4569,761.854,5.99721206425378
164,Guaribas,4562,3118.227,1.4630108712419
165,Marcos Parente,4549,677.414,6.71524355859194
166,Morro Cabeça no Tempo,4532,2210.461,2.05025105622764
167,Jardim do Mulato,4504,509.85,8.83397077571835
168,Bocaina,4500,261.651,17.1984819473268
169,Ribeira do Piauí,4477,1012.479,4.42182010688617
170,Flores do Piauí,4463,946.73,4.71412123836786
171,Wall Ferraz,4462,269.987,16.5267216569687
172,Jerumenha,4452,1867.313,2.38417447958644
173,São Braz do Piauí,4448,656.361,6.77675852160625
174,Curralinhos,4443,345.848,12.8466840924337
175,Várzea Grande,4391,237.013,18.5264099437584
176,Nova Santa Rita,4374,909.734,4.80799882163358
177,Domingos Mourão,4355,848.705,5.13134717010033
178,Francisco Ayres,4348,656.475,6.62325297993069
179,Passagem Franca do Piauí,4313,643.438,6.70305452895228
