Position,City,Population,Area,Density
0,Abatiá,7457,228.717,32.6036105755147
1,Adrianópolis,5919,1349.311,4.38668327761354
2,Agudos do Sul,9371,192.261,48.7410343231337
3,Almirante Tamandaré,118623,194.744,609.122745758534
4,Altamira do Paraná,1942,388.634,4.99698945537447
5,Alto Paraíso,2741,967.772,2.83227867720909
6,Alto Paraná,14770,407.635,36.2333950715714
7,Alto Piquiri,9836,447.722,21.9689896855638
8,Altônia,22056,661.56,33.3393796481045
9,Alvorada do Sul,11406,424.245,26.885408195736
10,Amaporã,6257,384.734,16.2631844339206
11,Ampére,19152,298.334,64.1965045888166
12,Anahy,2801,102.647,27.287694720742
13,Andirá,20031,236.075,84.8501535528963
14,Ângulo,2928,106.021,27.6171701832656
15,Antonina,18980,882.31,21.5117135700604
16,Antônio Olinto,7434,469.755,15.8252706197912
17,Apucarana,134996,558.388,241.760209746628
18,Arapongas,123027,381.091,322.828405813834
19,Arapoti,28115,1360.494,20.6652877557711
20,Arapuã,3068,217.371,14.1141182586454
21,Araruna,13970,493.19,28.3257973600438
22,Araucária,143843,469.166,306.592975620569
23,Ariranha do Ivaí,2108,239.562,8.79939222414239
24,Assaí,15119,440.012,34.3604265338218
25,Assis Chateaubriand,33362,969.58,34.4087130510118
26,Astorga,26111,434.791,60.0541409550796
27,Atalaia,3892,137.663,28.2719394463291
28,Balsa Nova,12941,396.914,32.6040401699109
29,Bandeirantes,31367,447.617,70.0755333242482
30,Barbosa Ferraz,11568,538.621,21.4770682910618
31,Barra do Jacaré,2781,115.724,24.0313158895303
32,Barracão,10275,171.402,59.9467917527217
33,Bela Vista da Caroba,3511,148.107,23.7058342954756
34,Bela Vista do Paraíso,15397,242.689,63.4433369456382
35,Bituruna,16389,1228.284,13.3430053635804
36,Boa Esperança,4105,307.381,13.3547616801299
37,Boa Esperança do Iguaçu,2503,151.797,16.4891269260921
38,Boa Ventura de São Roque,6387,620.453,10.2940915750266
39,Boa Vista da Aparecida,7591,256.296,29.6180978243905
40,Bocaiuva do Sul,12944,826.344,15.6641785987434
41,Bom Jesus do Sul,3541,173.817,20.3720004372415
42,Bom Sucesso,7032,321.901,21.8452257060401
43,Bom Sucesso do Sul,3264,195.931,16.6589258463439
44,Borrazópolis,6592,334.377,19.714274606208
45,Braganey,5427,343.321,15.8073639538508
46,Brasilândia do Sul,2651,291.039,9.10874487611626
47,Cafeara,2934,185.8,15.7911733046286
48,Cafelândia,18120,271.724,66.68531303823
49,Cafezal do Sul,4044,336.205,12.0283755446826
50,Califórnia,8570,141.817,60.4299907627435
51,Cambará,25360,366.173,69.2568813102004
52,Cambé,106533,494.692,215.352178729391
53,Cambira,7865,163.388,48.1369500820134
54,Campina da Lagoa,14202,796.614,17.8279568272714
55,Campina do Simão,3887,449.401,8.64929094505798
56,Campina Grande do Sul,43288,539.861,80.1836028162805
57,Campo Bonito,3833,433.836,8.83513585778958
58,Campo do Tenente,7971,304.489,26.1782855866714
59,Campo Largo,132002,1243.552,106.149159826047
60,Campo Magro,29318,275.466,106.430557673179
61,Campo Mourão,94859,749.638,126.53974318271
62,Cândido de Abreu,15018,1510.16,9.94464162737723
63,Candói,15979,1512.786,10.5626308017129
64,Cantagalo,13317,583.539,22.8210967904459
65,Capanema,19124,419,45.6420047732697
66,Capitão Leônidas Marques,15780,275.748,57.2261630184081
67,Carambeí,23415,649.68,36.0408200960473
68,Carlópolis,14320,447.857,31.9744918578921
69,Cascavel,328454,2100.831,156.344798796286
70,Castro,71484,2531.503,28.2377702100294
71,Catanduvas,10189,581.754,17.5142757935485
72,Centenário do Sul,10827,371.835,29.1177538424301
73,Cerro Azul,17779,1341.189,13.2561480894937
74,Céu Azul,11765,1179.449,9.97499679935292
75,Chopinzinho,19254,959.692,20.0626867786748
76,Cianorte,82620,811.666,101.790638021058
77,Cidade Gaúcha,12652,403.044,31.3911136253114
78,Clevelândia,16559,703.638,23.5334078034444
79,Colombo,243726,197.793,1232.22763191822
80,Colorado,24012,403.263,59.5442676367532
81,Congonhinhas,8818,535.959,16.452751049987
82,Conselheiro Mairinck,3860,204.705,18.8564031166801
83,Contenda,18584,299.037,62.1461558268709
84,Corbélia,17071,529.385,32.2468524797643
85,Cornélio Procópio,47845,635.1,75.3345929774839
86,Coronel Domingos Soares,7497,1562.848,4.79701160957432
87,Coronel Vivida,20734,684.417,30.2943965447965
88,Corumbataí do Sul,3219,164.341,19.5873214839876
89,Cruz Machado,18708,1478.35,12.6546487638245
90,Cruzeiro do Iguaçu,4252,161.862,26.2692911245382
91,Cruzeiro do Oeste,20932,775.984,26.9747829852162
92,Cruzeiro do Sul,4469,258.78,17.2694953242136
93,Cruzmaltina,2950,312.299,9.44607571590047
94,Curitiba,1933105,434.967,4444.25669073746
95,Curiúva,15101,576.261,26.2051396849691
96,Diamante do Norte,5087,775.984,6.55554753706262
97,Diamante do Sul,3439,359.945,9.5542374529442
