Position,City,Population,Area,Density
0,Rio de Janeiro,6718903,1200.18,5598.24609641887
1,São Gonçalo,1084839,247.71,4379.47196318275
2,Duque de Caxias,919596,467.62,1966.54548565074
3,Nova Iguaçu,821128,519.16,1581.64727636952
4,Niterói,513584,133.92,3835.00597371565
5,Belford Roxo,510906,77.82,6565.22744795682
6,Campos dos Goytacazes,507548,4026.7,126.045645317506
7,São João de Meriti,472406,35.83,13184.6497348591
8,Petrópolis,306191,795.8,384.758733350088
9,Volta Redonda,273012,182.48,1496.12012275318
10,Macaé,256672,1216.85,210.93150347208
11,Magé,245071,388.5,630.813384813385
12,Itaboraí,240592,430.37,559.035248739457
13,Cabo Frio,219863,410.42,535.702451147605
14,Angra dos Reis,203785,825.08,246.988170844039
15,Nova Friburgo,190631,933.42,204.228535921664
16,Barra Mansa,184412,547.2,337.010233918129
17,Teresópolis,182594,770.6,236.950428237737
18,Mesquita,176103,41.48,4245.49180327869
19,Nilópolis,162485,19.39,8379.83496647757
20,Maricá,161207,362.57,444.623107262046
21,Rio das Ostras,150674,229.04,657.850157177786
22,Queimados,150319,75.7,1985.71994715984
23,Itaguaí,133019,274.4,484.763119533528
24,Araruama,132400,638.02,207.517005736497
25,Resende,131341,1094.78,119.970222327774
26,Japeri,104768,81.87,1279.68730914865
27,São Pedro da Aldeia,104476,332.79,313.939721746447
28,Itaperuna,103224,1105.34,93.386650261458
29,Barra do Piraí,100374,578.97,173.366495673351
30,Saquarema,89170,353.57,252.198998783833
31,Seropédica,82312,283.77,290.065898438877
32,Três Rios,81804,326.76,250.348879911862
33,Valença,76523,1304.81,58.6468527984917
34,Rio Bonito,60201,456.46,131.886693248039
35,Guapimirim,60517,360.77,167.743992017075
36,Cachoeiras de Macacu,58937,953.8,61.7917802474313
37,Paracambi,52257,179.77,290.68810146298
38,Mangaratiba,44468,356.41,124.766420695267
39,Paraíba do Sul,44285,580.53,76.2837407196872
40,Casimiro de Abreu,44184,460.77,95.8916596132561
41,Paraty,43165,925.39,46.6451982407417
42,Santo Antônio de Pádua,42479,603.36,70.4040705383188
43,São Francisco de Itabapoana,42205,1105.34,38.1828215752619
44,Armação dos Búzios,40532,70.28,576.721684689812
45,São Fidélis,38669,1031.56,37.4859436193726
46,Bom Jesus do Itabapoana,37096,598.83,61.9474642218994
47,Vassouras,36896,520.54,70.8802397510278
48,São João da Barra,36102,455.04,79.3380801687764
49,Tanguá,34309,145.5,235.800687285223
50,Itatiaia,31805,245.15,129.736895778095
51,Arraial do Cabo,30349,160.28,189.349887696531
52,Piraí,29277,505.38,57.9306660334798
53,Iguaba Grande,28310,51.95,544.947064485082
54,Paty do Alferes,27769,318.8,87.1047678795483
55,Bom Jardim,27446,384.74,71.3364869782191
56,Miracema,27174,304.52,89.2355181925653
57,Miguel Pereira,25538,289.18,88.3117781312677
58,Pinheiral,25156,76.53,328.707696328237
59,Quissamã,24700,712.87,34.6486736712164
60,Itaocara,23234,431.34,53.8647007001437
61,Conceição de Macabu,23228,347.27,66.8874362887667
62,Cordeiro,21926,116.35,188.448646325741
63,São José do Vale do Rio Preto,21795,220.31,98.9287821705778
64,Silva Jardim,21774,937.55,23.2243613673937
65,Cantagalo,20172,749.28,26.9218449711723
66,Porto Real,19683,50.78,387.613233556518
67,Carmo,18895,324.74,58.1850095460984
68,Porciúncula,18847,291.05,64.7551967015977
69,Mendes,18614,97.29,191.324904923425
70,Rio Claro,18529,837.26,22.1305209851181
71,Sapucaia,18228,541.18,33.6819542481245
72,Carapebus,16301,308.13,52.902995488917
73,Sumidouro,15623,395.52,39.4998988673139
74,Cambuci,15505,561.7,27.6037030443297
75,Natividade,15317,386.74,39.6054196617883
76,Italva,15207,293.82,51.7561772513784
77,Quatis,14302,286.09,49.9912614911392
78,Engenheiro Paulo de Frontin,14002,150.19,93.2285771356282
79,Cardoso Moreira,12823,524.63,24.4419876865601
80,Areal,12572,110.92,113.342949873783
81,Aperibé,11759,94.64,124.249788672866
82,Duas Barras,11492,375.13,30.6347132993895
83,Varre-Sai,11010,201.03,54.7679450828235
84,Trajano de Moraes,10626,589.81,18.0159712449772
85,Santa Maria Madalena,10404,814.76,12.769404487211
86,São Sebastião do Alto,9357,397.9,23.515958783614
87,Rio das Flores,9284,478.31,19.4100060630135
88,Comendador Levy Gasparian,8561,106.89,80.0916830386378
89,Laje do Muriaé,7355,249.97,29.4235308236988
90,São José de Ubá,7171,250.28,28.6519098609557
91,Macuco,5599,77.72,72.0406587750901
