Position,City,Population,Area,Density
0,Porto Velho,529544,34090954,15.5332702041721
1,Ji-Paraná,130969,6896649,18.9902371427051
2,Ariquemes,107863,4426571,24.367168175999
3,Vilhena,99854,11699.15,8.53514998952915
4,Cacoal,85359,3792892,22.5049909145844
5,Rolim de Moura,55058,1457888,37.765589674927
6,Jaru,51775,2944128,17.5858522455545
7,Guajará-Mirim,46174,24855724,1.85768074991499
8,Machadinho D'Oeste,39991,8509.27,4.69969809396106
9,Buritis,39654,3265809,12.1421675303118
10,Pimenta Bueno,36660,6240.94,5.874115117274
11,Ouro Preto do Oeste,36035,1969.85,18.2932710612483
12,Espigão D'Oeste,33004,4518027,7.30495855823792
13,Nova Mamoré,30583,10071643,3.0365452786601
14,Candeias do Jamari,26693,6843868,3.90027978330383
15,Cujubim,25215,3863946,6.52571231585535
16,Presidente Médici,23201,1758465,13.1938935378299
17,São Miguel do Guaporé,23005,7460219,3.08368963431234
18,Alta Floresta D'Oeste,22945,7067025,3.24676932655538
19,Alto Paraíso,21428,2651822,8.08048202330322
20,Nova Brasilândia D'Oeste,20474,1703008,12.0222570886338
21,São Francisco do Guaporé,20266,10959767,1.84912690205914
22,Costa Marques,18331,4987177,3.67562651175204
23,Cerejeiras,18823,2783.3,6.76283548305968
24,Colorado do Oeste,17002,1451.06,11.7169517456204
25,Monte Negro,15852,1931378,8.2076113531375
26,Alvorada D'Oeste,15711,3029189,5.18653672649676
27,Campo Novo de Rondônia,14139,3442005,4.10778020368942
28,Alto Alegre dos Parecis,13241,3958273,3.34514572390535
29,Seringueiras,11856,3773505,3.14190652987077
30,Urupá,11467,831857,13.7848211892188
31,Vale do Anari,11204,3135106,3.5737228661487
32,Chupinguaia,11182,5126723,2.18112037650562
33,Mirante da Serra,10947,1191875,9.18468799160986
34,Itapuã do Oeste,10458,4081.58,2.56224305293538
35,Theobroma,10444,2197413,4.75286166050715
36,Ministro Andreazza,9660,798083,12.1040042201124
37,Novo Horizonte do Oeste,8538,843446,10.1227583034361
38,Governador Jorge Teixeira,7767,5067384,1.53274352210134
39,Corumbiara,7391,3060321,2.41510612775588
40,Nova União,6970,807126,8.63557858376511
41,Vale do Paraíso,6825,965676,7.06758788662036
42,Santa Luzia D'Oeste,7005,1197796,5.84824126979886
43,Cacaulândia,6230,1961778,3.17569062350582
44,Parecis,6074,2548683,2.38319163269814
45,Cabixi,5312,1314352,4.0415352964807
46,São Felipe D'Oeste,5172,541647,9.54865438191294
47,Teixeirópolis,4308,459978,9.36566531442808
48,Rio Crespo,3764,1717.64,2.19137886868028
49,Castanheiras,3052,892842,3.41829797433364
50,Primavera de Rondônia,2856,605692,4.71526782589171
51,Pimenteiras do Oeste,2169,6014733,0.360614511068072
