Position,City,Population,Area,Density
0,Boa Vista,399213,5687.04,70.197011202846
1,Rorainópolis,30163,33579.74,0.898249983420062
2,Caracaraí,21926,47380.38,0.462765438222049
3,Cantá,18335,7664.83,2.39209448975457
4,Mucajaí,17853,12351.34,1.44543009540422
5,Pacaraima,17401,8028.48,2.16740821398015
6,Alto Alegre,15510,25753.49,0.602248542110045
7,Amajari,12796,28472.31,0.44941910227867
8,Bonfim,12409,8095.42,1.53284183737943
9,Iracema,11950,14351.13,0.832686868695315
10,Normandia,11290,6966.81,1.62054058880024
11,Uiramutã,10559,8065.56,1.30914589481901
12,Caroebe,10169,12065.90,0.84278863335139
13,São João da Baliza,8201,4284.51,1.91410676379185
14,São Luiz,7986,1526.90,5.23021184126248
