Position,City,Population,Area,Density
0,Porto Alegre,1409351,496684,2837.52
1,Caxias do Sul,435564,1644302,264.89
2,Pelotas,328275,1610091,203.89
3,Canoas,323827,131097,2470.13
4,Santa Maria,261031,1788129,145.98
5,Gravataí,255660,463501,551.58
6,Viamão,239384,1497023,159.91
7,Novo Hamburgo,238940,223822,1067.54
8,São Leopoldo,214087,102739,2083.79
9,Rio Grande,197228,2709534,72.79
10,Alvorada,195673,71311,2743.94
11,Passo Fundo,184826,783423,235.92
12,Sapucaia do Sul,130957,58309,2245.91
13,Uruguaiana,125435,5715791,21.95
14,Santa Cruz do Sul,118374,733412,161.4
15,Cachoeirinha,118278,44018,2687.04
16,Bagé,116794,4095553,28.52
17,Bento Gonçalves,107278,381.96,280.86
18,Erechim,96087,430.67,223.11
19,Guaíba,95204,376948,252.57
20,Cachoeira do Sul,83827,3735179,22.44
21,Santana do Livramento,82464,6950388,11.86
22,Esteio,80755,27676,2917.87
23,Ijuí,78915,689136,114.51
24,Alegrete,77653,7803.99,9.95
25,Santo Ângelo,76275,680.5,112.09
26,Sapiranga,74985,138315,542.13
27,Lajeado,71445,90088,793.06
28,Santa Rosa,68587,489.8,140.03
29,Venâncio Aires,65946,773244,85.28
30,Farroupilha,63635,360392,176.57
31,Cruz Alta,62821,1360376,46.18
32,Camaquã,62764,1679441,37.37
33,São Borja,61671,3616035,17.05
34,Vacaria,61342,2123683,28.88
35,São Gabriel,60425,5023843,12.03
36,Campo Bom,60074,60.51,992.79
37,Montenegro,59415,424013,140.13
38,Carazinho,59317,665094,89.19
39,Taquara,54643,457856,119.35
40,Canguçu,53259,3525309,15.11
41,Parobé,51502,108646,474.03
42,Santiago,49071,2413143,20.33
43,São Lourenço do Sul,43111,2036134,21.17
44,Estância Velha,42574,52147,816.42
45,Capão da Canoa,42040,97.1,432.96
46,Tramandaí,41585,144408,287.97
47,Osório,40906,663555,61.65
48,Rosário do Sul,39707,4369669,9.09
49,Santo Antônio da Patrulha,39685,1049.81,37.8
50,Canela,39229,253773,154.58
51,Dom Pedrito,38898,5192.12,7.49
52,Itaqui,38159,3404053,11.21
53,Panambi,38058,490859,77.53
54,Rio Pardo,37591,2050597,18.33
55,Marau,36364,649302,56
56,Charqueadas,35320,216513,163.13
57,Torres,34656,160194,216.34
58,São Luís Gonzaga,34556,1295683,26.67
59,Eldorado do Sul,34343,509728,67.38
60,Palmeira das Missões,34328,1419435,24.18
61,Caçapava do Sul,33690,3047126,11.06
62,Gramado,32273,237828,135.7
63,Igrejinha,31660,135862,233.03
64,Santa Vitória do Palmar,30990,5244379,5.91
65,Portão,30920,159895,193.38
66,Garibaldi,30689,169237,181.34
67,Estrela,30619,184177,166.25
68,Candelária,30171,943949,31.96
69,Soledade,30044,1213414,24.76
70,Frederico Westphalen,28843,264976,108.85
71,Jaguarão,27931,2054392,13.6
72,Dois Irmãos,27572,65156,423.17
73,Lagoa Vermelha,27525,1263507,21.78
74,Teutônia,27272,178625,152.68
75,Flores da Cunha,27126,273453,99.2
76,Taquari,26092,349968,74.56
77,Triunfo,25793,818802,31.5
78,São José do Norte,25503,1118109,22.81
79,Carlos Barbosa,25192,228.67,110.17
80,Encruzilhada do Sul,24534,3348333,7.33
81,Capão do Leão,24298,785377,30.94
82,Vera Cruz,23983,309622,77.46
83,Três Passos,23965,268397,89.29
84,Três Coroas,23848,185.54,128.53
85,São Sepé,23798,2200702,10.81
86,Três de Maio,23726,422.2,56.2
87,Quaraí,23021,3147647,7.31
88,Nova Prata,22830,258744,88.23
89,Guaporé,22814,297.66,76.64
90,Veranópolis,22810,289343,78.83
91,Nova Santa Rita,22716,217871,104.26
92,Tupanciretã,22281,2251869,9.89
93,São Jerônimo,22134,936379,23.64
94,São Sebastião do Caí,21932,111435,196.81
95,Sarandi,21285,353389,60.23
96,São Francisco de Paula,20537,3274035,6.27
97,Encantado,20510,139.16,147.38
98,Butiá,20406,752.25,27.13
99,São Marcos,20103,256253,78.45
100,Ivoti,19874,63151,314.71
101,Piratini,19841,3539704,5.61
102,Júlio de Castilhos,19579,1929389,10.15
103,Rolante,19485,295638,65.91
104,Ibirubá,19310,607456,31.79
105,São Francisco de Assis,19254,2508464,7.68
106,Tapejara,19250,238799,80.61
107,Nova Petrópolis,19045,291301,65.38
108,Arroio do Meio,18783,157957,118.91
109,Arroio Grande,18470,2513609,7.35
110,Horizontina,18348,232477,78.92
111,Nova Hartz,18346,62558,293.26
112,Imbé,17670,39395,448.53
113,Giruá,17075,855924,19.95
114,Agudo,16722,536117,31.19
115,Tapes,16629,806299,20.62
116,São Pedro do Sul,16368,873597,18.74
117,Getúlio Vargas,16154,286567,56.37
118,Não-Me-Toque,15936,361672,44.06
119,Restinga Seca,15849,956053,16.58
120,Sananduva,15373,504551,30.47
121,Espumoso,15240,783069,19.46
122,Dom Feliciano,14380,1356176,10.6
123,Santo Cristo,14378,366887,39.19
124,Sobradinho,14283,130391,109.54
125,Serafina Corrêa,14253,163284,87.29
126,Crissiumal,14084,362151,38.89
127,Santo Augusto,13968,468105,29.84
128,Tenente Portela,13719,338085,40.58
129,Cacequi,13676,2369.96,5.77
130,Arroio dos Ratos,13606,425934,31.94
131,Cerro Largo,13289,177676,74.79
132,Antônio Prado,12833,347618,36.92
133,Pinheiro Machado,12780,2249566,5.68
134,Cidreira,12668,245885,51.52
135,Arroio do Tigre,12648,318236,39.74
136,Barra do Ribeiro,12572,728.95,17.25
