Position,City,Population,Area,Density
0,Abdon Batista,2656,235.6,11.2733446519525
1,Abelardo Luz,17584,1055368,16.6614867989175
2,Agrolândia,9957,207119,48.0738126391108
3,Agronômica,5172,135923,38.0509553202916
4,Água Doce,7110,1311,5.4233409610984
5,Águas Frias,2430,75162,32.3301668396264
6,Águas Mornas,5926,360757,16.4265696854115
7,Águas de Chapecó,6313,139132,45.3741770405083
8,Alfredo Wagner,9737,732277,13.2968808251522
9,Alto Bela Vista,2007,103592,19.3740829407676
10,Anchieta,6145,228.58,26.8833668737422
11,Angelina,5166,499947,10.3330953081027
12,Anita Garibaldi,8230,588612,13.982045897807
13,Anitápolis,3259,542.38,6.00870238578119
14,Antônio Carlos,7906,229118,34.5062369608673
15,Apiúna,10099,493529,20.4628299451501
16,Arabutã,4270,132232,32.2917296872164
17,Araquari,29593,401831,73.6453882353527
18,Araranguá,68228,303799,224.582701062215
19,Armazém,8159,173484,47.0302736851813
20,Arroio Trinta,3562,94333,37.7598507415221
21,Arvoredo,2240,90709,24.6943522693448
22,Ascurra,7683,111672,68.7996991188481
23,Atalanta,3310,94527,35.0164503263618
24,Aurora,5661,206947,27.3548299806231
25,Balneário Arroio do Silva,10876,93819,115.925345612296
26,Balneário Barra do Sul,9330,110428,84.4894410837831
27,Balneário Camboriú,142295,46489,3060.83159457076
28,Balneário Gaivota,9259,147.71,62.6836368560016
29,Balneário Piçarras,19329,99071,195.102502245864
30,Balneário Rincão,11628,57.88,200.898410504492
31,Bandeirante,2865,146255,19.5890738778161
32,Barra Bonita,1842,93469,19.7070686537783
33,Barra Velha,24943,140.16,177.960901826484
34,Bela Vista do Toldo,6191,534618,11.5802311182938
35,Belmonte,2692,93604,28.7594547241571
36,Benedito Novo,10906,385402,28.2977254918241
37,Biguaçu,68481,324521,211.021782873836
38,Blumenau,357199,519.8,687.185455944594
39,Bocaina do Sul,3393,496.25,6.83727959697733
40,Bom Jardim da Serra,4566,935177,4.88249817948902
41,Bom Jesus,3010,63522,47.3851578980511
42,Bom Jesus do Oeste,2160,67899,31.8119559934609
43,Bom Retiro,9397,1055501,8.90288119101735
44,Bombinhas,16311,34489,472.933399054771
45,Botuverá,4785,303023,15.7908805602215
46,Braço do Norte,30868,223.91,137.858961189764
47,Braço do Trombudo,3599,89681,40.1311314548232
48,Brunópolis,2741,335513,8.16957912212046
