Position,City,Population,Area,Density
0,Aracaju,657015,182.163,3606.74231320301
1,Nossa Senhora do Socorro,183628,155.018,1184.55921247855
2,Lagarto,104408,968.921,107.756979155163
3,Itabaiana,95427,337.295,282.91851346744
4,São Cristóvão,90072,438.037,205.626465344252
5,Estância,69184,646.235,107.057030337261
6,Tobias Barreto,52191,1024.186,50.9585173005685
7,Itabaianinha,41928,493.472,84.9653070488295
8,Simão Dias,40484,564.36,71.7343539584662
9,Nossa Senhora da Glória,36924,757.45,48.7477721301736
10,Itaporanga d'Ajuda,34356,739.702,46.4457308483687
11,Poço Redondo,34775,1232.595,28.2128355218056
12,Capela,34213,442.211,77.3680437619146
13,Barra dos Coqueiros,30407,92.268,329.55087354229
14,Propriá,29626,92.716,319.534923853488
15,Laranjeiras,29826,162.273,183.8013717624
16,Canindé de São Francisco,29895,901.094,33.1763389835023
17,Porto da Folha,28596,876.674,32.618738550476
18,Boquim,26816,205.643,130.40074303526
19,Nossa Senhora das Dores,26629,482.399,55.2011923739477
20,Umbaúba,25295,117.514,215.250948823119
21,Poço Verde,23728,439.828,53.9483616322744
22,Carira,21955,637.131,34.4591614597312
23,Aquidabã,21604,359.543,60.0873887128939
24,Salgado,19998,247.579,80.7742175224878
25,Riachão do Dantas,19813,530.607,37.3402537094309
26,Japaratuba,18719,365.621,51.197825070223
27,Neópolis,18711,265.533,70.4658178079561
28,Ribeirópolis,18692,259.022,72.1637544301256
29,Areia Branca,18571,148.134,125.366222474246
30,Cristinápolis,18184,237.699,76.5001114855342
31,Campo do Brito,18036,201.485,89.5153485371119
32,Indiaroba,18004,314.71,57.2082234438054
33,Maruim,17194,95.554,179.940138560395
34,Carmópolis,15942,46.395,343.614613643712
35,Frei Paulo,15294,399.177,38.313830706679
36,Monte Alegre de Sergipe,15244,407.664,37.3935397778563
37,Pacatuba,14315,377.471,37.9234431254322
38,Santa Luzia do Itanhy,13897,325.258,42.7260820640845
39,Tomar do Geru,13058,306.264,42.6364182535329
40,Japoatã,13039,408.048,31.9545739716896
41,Malhador,12625,101.888,123.910568467337
42,Santo Amaro das Brotas,11696,236.965,49.3575000527504
43,Gararu,11605,654.129,17.7411489171096
44,Moita Bonita,11421,95.416,119.696906179257
45,São Domingos,11059,101.999,108.422631594427
46,Rosário do Catete,10855,102.834,105.55847287862
47,Arauá,10056,198.967,50.5410444948157
48,Riachuelo,10213,78.308,130.42090207897
49,Pedrinhas,9592,33.144,289.403813661598
50,Nossa Senhora Aparecida,9017,340.843,26.4549954084432
51,Pirambu,8938,208.715,42.8239465299571
52,Siriri,8705,168.372,51.7009954149146
53,Ilha das Flores,8463,54.604,154.988645520475
54,Brejo Grande,8308,143.887,57.7397541126023
55,Santana do São Francisco,7768,45.105,172.220374681299
56,Muribeca,7584,74.315,102.052075624033
57,Macambira,7142,137.529,51.9308654901875
58,Nossa Senhora de Lourdes,6475,81.197,79.7443255292683
59,Pinhão,6310,156.33,40.3633339730058
60,Cedro de São João,5782,83.711,69.070970362318
61,Gracho Cardoso,5700,242.679,23.4878172400579
62,Feira Nova,5414,183.273,29.5406306439028
63,Divina Pastora,5069,90.328,56.1177043663094
64,Itabi,5023,183.422,27.3849374666071
65,São Francisco,4179,83.872,49.8259252193819
66,Cumbe,3961,128.393,30.8505915431527
67,Canhoba,3952,169.679,23.2910377831081
68,São Miguel do Aleixo,3921,144.832,27.0727463543968
69,Santa Rosa de Lima,3899,67.672,57.6161484809079
70,Malhada dos Bois,3428,63.199,54.2413645785535
71,General Maynard,3302,19.793,166.826655888445
72,Pedra Mole,3244,82.202,39.4637600058393
73,Telha,3118,49.027,63.5976094804903
74,Amparo de São Francisco,2686,35.33,76.026040192471
