Position,City,Population,Area,Density
0,São Paulo,12252023,1521.11,7398.26
1,Guarulhos,1379182,318.675,3834.51
2,Campinas,1204073,794.571,1359.6
3,São Bernardo do Campo,838936,409.532,1869.36
4,São José dos Campos,721944,1099.409,572.96
5,Santo André,718773,175.782,3848.01
6,Ribeirão Preto,703293,650.916,928.92
7,Osasco,698418,64.954,10264.8
8,Sorocaba,679378,450.382,1304.18
9,Mauá,472912,61.909,6741.41
10,São José do Rio Preto,460671,431.944,945.12
11,Mogi das Cruzes,445842,712.541,544.12
12,Santos,433311,281.033,1494.26
13,Diadema,423884,30.732,12536.99
14,Jundiaí,418962,431.207,858.42
15,Piracicaba,404142,1378.069,264.47
16,Carapicuíba,400927,34.546,10698.32
17,Bauru,376818,667.684,515.12
18,Itaquaquecetuba,370821,82.622,3895.24
19,São Vicente,365798,148.1,2247.88
20,Franca,353187,605.679,526.09
21,Praia Grande,325073,149.253,1781.87
22,Guarujá,320459,144.794,2026.8
23,Taubaté,314924,625.003,445.98
24,Limeira,306114,580.711,475.32
25,Suzano,297637,206.236,1272.93
26,Taboão da Serra,289664,20.388,11994.31
27,Sumaré,282441,153.465,1572.04
28,Barueri,274182,65.701,3665.21
29,Embu das Artes,273726,70.398,3412.89
30,São Carlos,251983,1136.907,195.15
31,Indaiatuba,251627,311.545,646.11
32,Cotia,249210,323.994,620.81
33,Americana,239597,133.912,1572.75
34,Marília,238882,1170.515,185.21
35,Itapevi,237700,82.658,2428.88
36,Araraquara,236072,1003.625,207.9
37,Jacareí,233662,464.272,454.94
38,Hortolândia,230851,62.416,3094.16
39,Presidente Prudente,228743,560.637,368.89
40,Rio Claro,206424,498.422,373.69
41,Araçatuba,197016,1167.126,155.54
42,Ferraz de Vasconcelos,194276,29.564,5692.55
43,Santa Bárbara d'Oeste,193475,271.03,664.49
44,Francisco Morato,175844,49.001,3147.8
45,Itapecerica da Serra,175693,150.742,1011.57
46,Itu,173939,640.719,241.01
47,Bragança Paulista,168668,512.584,286.26
48,Pindamonhangaba,168328,729.998,201.39
49,Itapetininga,163901,1789.35,80.65
50,São Caetano do Sul,161127,15.331,9736.03
51,Franco da Rocha,154489,132.775,980.95
52,Mogi Guaçu,151888,812.753,168.99
53,Jaú,150252,687.103,191.09
54,Botucatu,146497,1482.642,85.88
55,Atibaia,142761,478.521,264.57
56,Santana de Parnaíba,139447,179.949,604.74
57,Araras,134236,644.831,184.3
58,Cubatão,130705,142.879,830.91
59,Valinhos,129193,148.538,718.7
60,Sertãozinho,125815,403.089,273.22
61,Jandira,124937,17.449,6207.76
62,Birigui,123638,530.031,204.79
63,Ribeirão Pires,123393,99.075,1140.73
64,Votorantim,122480,183.517,591.04
65,Barretos,122098,1566.161,71.6
66,Catanduva,121862,290.596,388.24
67,Várzea Paulista,121838,35.12,3049.14
68,Guaratinguetá,121798,752.636,148.91
69,Tatuí,121766,523.749,205.03
70,Caraguatatuba,121532,484.947,207.88
71,Itatiba,120858,322.276,314.9
72,Salto,118663,133.057,792.13
73,Poá,117452,17.264,6141.05
74,Ourinhos,113542,295.818,347.78
75,Paulínia,109424,138.777,592.17
76,Assis,104386,460.609,206.7
77,Leme,103391,402.871,227.75
78,Itanhaém,101816,601.711,144.69
79,Caieiras,101470,97.642,900.37
80,Mairiporã,100179,320.697,252.44
81,Votuporanga,94547,420.703,201.15
82,Itapeva,94354,177.347,48.85
83,Caçapava,94263,368.99,229.66
84,Mogi Mirim,93189,497.708,173.77
85,São João da Boa Vista,91211,516.399,161.96
86,São Roque,91016,306.908,256.82
87,Ubatuba,90799,708.105,108.87
88,Avaré,90655,1213.055,68.37
89,Arujá,89824,96.167,779.33
90,São Sebastião,88980,402.395,185
91,Lorena,88706,414.16,199.29
92,Campo Limpo Paulista,84650,79.403,932.92
93,Matão,83170,524.899,146.3
94,Cruzeiro,82238,305.699,252.01
95,Ibiúna,78878,1058.082,67.31
96,Vinhedo,78728,81.604,779.51
97,Lins,78013,570.058,124.98
98,Bebedouro,77496,683.192,109.81
99,Jaboticabal,77263,706.602,101.42
100,Cajamar,76801,131.386,488.18
101,Pirassununga,76409,727.118,96.38
102,Itapira,74773,518.416,132.21
103,Cosmópolis,72252,154.665,380.37
104,Amparo,72195,445.323,147.75
105,Embu-Guaçu,69385,155.641,403.32
106,Fernandópolis,69116,549.797,117.62
107,Mococa,68885,855.156,77.55
108,Lençóis Paulista,68432,809.541,75.88
109,Peruíbe,68284,326.216,184.4
110,Tupã,65524,627.986,100.99
111,Penápolis,63407,711.315,82.31
112,Bertioga,63249,491.546,97.21
113,Batatais,62508,849.526,66.48
114,Itupeva,61252,200.816,223.38
115,Boituva,60997,248.954,194.07
116,Nova Odessa,60174,73.788,689.48
117,Ibitinga,60033,689.391,77.12
118,Mirassol,59824,243.228,221.1
119,Monte Mor,59772,240.566,203.61
120,Jaguariúna,57488,141.391,313.37
121,Santa Isabel,57386,363.332,138.87
122,Taquaritinga,57177,594.335,90.95
123,Andradina,57157,964.226,57.39
124,Mongaguá,56702,143.205,326
125,Registro,56322,722.201,75.11
126,Porto Ferreira,56150,244.906,209.88
127,Capivari,55768,322.878,150.45
128,Piedade,55348,746.868,69.82
129,São José do Rio Pardo,54946,419.684,123.81
130,Olímpia,54772,802.555,62.32
131,Artur Nogueira,54408,178.026,248.15
132,Porto Feliz,53098,556.706,87.83
133,Vargem Grande Paulista,52597,42.489,1012.1
134,Campos do Jordão,52088,290.52,164.76
135,São Joaquim da Barra,51888,410.863,113.28
136,Rio Grande da Serra,50846,36.341,1210.04
137,Itararé,50503,1003.86,47.76
138,Monte Alto,50498,346.95,134.61
139,Pontal,49961,356.371,112.94
140,Cabreúva,49707,260.234,159.87
141,Jales,49107,368.574,127.57
142,Cerquilho,48949,127.803,309.98
143,Louveira,48885,55.133,673.37
144,Pedreira,47919,108.817,382.7
145,Santa Cruz do Rio Pardo,47673,1114.747,39.44
146,Tremembé,47185,191.094,214.17
147,Mairinque,47150,210.149,205.53
148,Capão Bonito,47138,1640.23,28.15
149,Dracena,46793,487.688,88.64
150,Pederneiras,46687,728.735,56.92
151,Paraguaçu Paulista,45703,1001.492,42.22
152,Salto de Pirapora,45422,280.509,143.02
153,Serrana,45107,126.046,308.44
154,Garça,44390,555.807,77.6
155,Jardinópolis,44380,501.87,74.99
156,Espírito Santo do Pinhal,44330,389.235,107.61
157,Presidente Epitácio,44200,1260.281,32.79
158,Orlândia,44028,291.765,136.34
159,Itápolis,43120,996.747,40.18
160,Vargem Grande do Sul,42845,267.178,146.94
161,Tietê,42076,404.396,91.09
162,Ituverava,41824,704.659,54.87
163,Novo Horizonte,41052,931.743,39.28
164,Socorro,41005,449.029,81.7
165,São Manuel,40954,650.734,58.92
166,Guaíra,40790,1258.465,29.72
167,Américo Brasiliense,40504,122.785,280.91
168,Promissão,40432,779.2,45.78
169,Guariba,40105,270.289,131.29
170,Pitangueiras,39719,430.638,81.99
171,Presidente Venceslau,39516,755.203,50.1
172,Agudos,37214,966.708,35.73
173,Iperó,37133,170.289,166.2
174,José Bonifácio,37015,860.2,38.1
175,Aguaí,36305,474.554,67.72
176,Aparecida,36157,121.076,289.13
177,Barra Bonita,36126,150.121,235.12
178,São Pedro,35653,611.278,51.98
179,Cravinhos,35292,311.423,101.77
180,Bariri,35264,444.405,71.14
181,Rio das Pedras,35228,226.657,130.16
182,Ibaté,35104,290.978,105.74
183,Adamantina,35068,411.987,82.15
184,Ilhabela,34970,346.389,81.13
185,Santa Cruz das Palmeiras,34361,295.337,101.35
186,Araçoiaba da Serra,34146,255.327,106.88
187,Descalvado,33718,753.706,41.2
188,Cachoeira Paulista,33327,287.99,104.49
189,Morro Agudo,32968,1388.127,20.97
190,Guararapes,32939,955.637,31.99
191,São Miguel Arcanjo,32931,930.339,33.8
192,Osvaldo Cruz,32879,248.038,124.47
193,Barrinha,32812,146.025,195.66
194,Biritiba Mirim,32598,317.406,90.03
195,Santa Fé do Sul,32322,206.537,141.81
