Position,City,Population,Area,Density
0,Palmas,291855,2218.942,131.528899809008
1,Araguaína,177517,4000.416,44.3746350379561
2,Gurupi,85737,1836.091,46.6953979949796
3,Porto Nacional,52700,4449.917,11.8429175195852
4,Paraíso do Tocantins,50602,1268.06,39.9050518114285
5,Araguatins,35346,2625.286,13.4636759575909
6,Colinas do Tocantins,34990,843.846,41.4649118441043
7,Guaraí,25677,2268.161,11.3206249468182
8,Tocantinópolis,22896,1077.073,21.2576120652918
9,Dianópolis,21850,3217.313,6.79138150375795
10,Miracema do Tocantins,18566,2656.09,6.98997398431529
11,Formoso do Araguaia,18482,13423.378,1.37685163898387
12,Augustinópolis,18178,394.976,46.0230495017419
13,Taguatinga,16538,2437.399,6.78510165959697
14,Pedro Afonso,13380,2010.902,6.65373051496294
15,Miranorte,13375,1031.624,12.9649949981776
16,Lagoa da Confusão,13034,10564.683,1.2337331844221
17,Goiatins,12942,6408.602,2.01947320179971
18,São Miguel do Tocantins,11967,398.82,30.0060177523695
19,Nova Olinda,11719,1566.184,7.48251801831713
20,Wanderlândia,11631,1373.059,8.47086687462083
21,Peixe,11623,5291.206,2.19666367176028
22,Xambioá,11561,1186.43,9.74435912780358
23,Buriti do Tocantins,11197,251.921,44.4464732991692
24,Esperantina,10851,504.023,21.5287794406208
25,Babaçulândia,10662,1788.463,5.96154351529777
26,Arraias,10601,5786.866,1.83190694237606
27,Paranã,10461,11260.216,0.929023031174535
28,Campos Lindos,9917,3240.177,3.06063526776469
29,Axixá do Tocantins,9725,150.213,64.7414005445601
30,Ananás,9607,1576.973,6.09205103701839
31,Natividade,9239,3240.715,2.85091407297464
32,Sítio Novo do Tocantins,9078,324.096,28.0102191943128
33,Filadélfia,8837,1988.081,4.44498991741282
34,Araguaçu,8567,5167.652,1.65781287130016
35,Alvorada,8427,1212.167,6.95201238773205
36,Praia Norte,8365,289.054,28.9392293481495
37,Colmeia,8270,990.723,8.34743919339715
38,Ponte Alta do Tocantins,7961,6491.125,1.22644379826301
39,Monte do Carmo,7827,3616.674,2.16414307731358
40,Palmeirópolis,7641,1703.944,4.48430230101459
41,Pium,7564,10013.766,0.755360171188342
42,Tocantínia,7471,2601.603,2.87169103049159
43,Santa Fé do Araguaia,7426,1678.091,4.42526656778446
44,Itacajá,7414,3051.36,2.42973624875465
45,Cristalândia,7300,1848.241,3.94970136470298
46,Dois Irmãos do Tocantins,7211,3757.036,1.91933215438979
47,Almas,7131,4013.243,1.77686723679578
48,Araguacema,7016,2778.452,2.52514709629679
49,Divinópolis do Tocantins,6856,2347.434,2.9206358943425
50,Arapoema,6670,1552.217,4.29707959647395
51,Aguiarnópolis,6572,235.394,27.9191483215375
52,Palmeiras do Tocantins,6570,747.898,8.78462036266978
53,Rio Sono,6468,6354.367,1.01788266242727
54,Darcinópolis,6018,1639.162,3.6713881849384
